"","X","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID","Author"
"32",32,"MJones MarkPJones","Type Classes with Functional Dependencies,","Proceedings of the th European Symposium Programming ESOP European Symposium Programming Springer Verlag LNCS",1,39,32,"MJones"
"33",33,"MJones ","Computing with Lattices: An Application of Type Classes ","Journal of Functional Programming",1,1,33,"MJones"
"34",34,"MJones ","Dictionary-Free Overloading by Partial Evaluation ","Lisp and Symbolic Computation",1,2,34,"MJones"
"35",35,"MJones ","Dictionary-Free Overloading by Partial Evaluation ","PEPM Partial Evaluation and Semantic Based Program Manipulation",1,3,35,"MJones"
"36",36,"MJones ","Functional Programming with Overloading and Higher-Order Polymorphism ","Advanced Functional Programming",1,4,36,"MJones"
"37",37,"MJones ","First-class Polymorphism with Type Inference ","POPL Symposium Principles of Programming Languages",1,5,37,"MJones"
"38",38,"MJones ","ML Typing, Explicit Polymorphism and Qualified Types ","TACS Theoretical Aspects of Computer Software",1,6,38,"MJones"
"39",39,"MJones ","Integrating Programming, Properties, and Validation ","MPC Mathematics of Program Construction",1,7,39,"MJones"
"40",40,"MJones ","Programming with Constructor Classes Abstract ","PLILP Symposium Programming Language Implementation and Logic Programming",1,8,40,"MJones"
"41",41,"MJones ","Programming with Constructor Classes Preliminary Summary ","Functional Programming",1,9,41,"MJones"
"42",42,"MJones MarkPJones","Coherence for qualified types,","Research Report YALEU DCS RR Yale University New Haven",1,20,42,"MJones"
"43",43,"MJones MarkPJones LucDuponcheel","Composing Monads,","Research Report YALEU DCS RR Yale University New Haven",1,21,43,"MJones"
"44",44,"MJones MarkPJones","Computing with lattices: An application of type classes","Journal of Functional Programming University Press",1,22,44,"MJones"
"45",45,"MJones MarkPJones","Dictionary-free Overloading by Partial Evaluation,","ACM SIGPLAN Special Interest Group Programming Languages Workshop Partial Evaluation and Semantics Based Program Manipulation",1,23,45,"MJones"
"46",46,"MJones MarkPJones","Typing Haskell in Haskell,","Proceedings of the Haskell Workshop Published Technical Report UU CS Department of Computer Science University of Utrecht",1,40,46,"MJones"
"47",47,"MJones MarkPJones","Functional Programming with Overloading and Higher-Order Polymorphism","First International School Advanced Functional Programming Techniques B aa stad Springer Verlag Lecture Notes Computer Science",1,24,47,"MJones"
"48",48,"MJones MarkPJones","The Functions of Java Bytecode,","Proceedings of the OOPSLA Conference Object Oriented Programming Systems Languages and Applications workshop Formal Underpinnings of Java",1,41,48,"MJones"
"49",49,"MJones MarkPJones","From Hindley-Milner Types to First-Class Structures,","Proceedings of the Haskell Workshop Jolla Yale University Research Report YALEU DCS RR",1,25,49,"MJones"
"50",50,"MJones ShengLiang PaulHudak MarkPJones","Monad Transformers and Modular Interpreters,","Conference Record of POPL Symposium Principles of Programming Languages ACM SIGPLAN Special Interest Group Programming Languages SIGACT Symposium Principles of Programming Languages San Francisco Computer Animation",1,42,50,"MJones"
"51",51,"MJones MarkPJones","First-class Polymorphism with Type Inference,","Proceedings of the Twenty Fourth Annual ACM SIGPLAN Special Interest Group Programming Languages SIGACT Symposium Principles of Programming Languages",1,26,51,"MJones"
"52",52,"MJones JohnPeterson","Implementing Type Classes ","PLDI Special Interest Group Programming Language Design and Implementation",1,43,52,"MJones"
"53",53,"MJones MarkPJones","Hugs , The Haskell User's Gofer System: User Manual,","Technical Report NOTTCS TR Functional Programming Research Group Department of Computer Science University of Nottingham Nottingham NG RD England",1,27,53,"MJones"
"54",54,"MJones JohnPeterson MarkPJones","Implementing Type Classes,","Proceedings of ACM SIGPLAN Special Interest Group Programming Languages Symposium Programming Language Design and Implementation ACM SIGPLAN Special Interest Group Programming Languages",1,44,54,"MJones"
"55",55,"MJones MarkPJones SimonPeytonJones","Lightweight Extensible Records for Haskell,","Proceedings of the Haskell Workshop Published Technical Report UU CS Department of Computer Science University of Utrecht",1,28,55,"MJones"
"56",56,"MJones MarkPJones","Qualified Types: Theory and Practice,","University Press",1,29,56,"MJones"
"57",57,"MJones ","Simplifying and Improving Qualified Types ","FPCA Functional Programming Languages and Computer Architecture",1,10,57,"MJones"
"58",58,"MJones ","Using Parameterized Signatures to Express Modular Structure ","POPL Symposium Principles of Programming Languages",1,11,58,"MJones"
"59",59,"MJones ","A System of Constructor Classes: Overloading and Implicit Higher-Order Polymorphism ","FPCA Functional Programming Languages and Computer Architecture",1,12,59,"MJones"
"60",60,"MJones ","A Theory of Qualified Types ","Sci Comput Program",1,13,60,"MJones"
"61",61,"MJones ","A Theory of Qualified Types ","ESOP European Symposium Programming",1,14,61,"MJones"
"62",62,"MJones MarkPJones","ML typing, explicit polymorphism and qualified types","TACS Theoretical Aspects of Computer Software Conference theoretical aspects of computer software Sendai Springer Verlag Lecture Notes Computer Science",1,30,62,"MJones"
"63",63,"MJones ","Type Classes with Functional Dependencies ","ESOP European Symposium Programming",1,15,63,"MJones"
"64",64,"MJones MarkPJones PaulHudak","Implicit and explicit parallel programming in Haskell","Research Report YALEU DCS RR Yale University New Haven",1,31,64,"MJones"
"65",65,"MJones ChristopherWFraser RichardDraves RichardFRashid RobertPFitzgerald ToddBKnoblock WilliamJBolosky","Operating System Directions for the Next Millennium ","Workshop Hot Topics Operating Systems",2,12,65,"MJones"
"66",66,"MJones MichaelBJones DanielaRosu Marcel CatalinRosu","CPU Reservations and Time Constraints: Efficient, Predictable Scheduling of Independent Activities ","Proceedings of the th ACM Symposium Operating Systems Principles Saint Malo pages",2,13,66,"MJones"
"67",67,"MJones PaulJLeach RichardDraves","Support for User-Centric Modular Real-Time Resource Management in the Rialto Operating System ","NOSSDAV Network and Operating System Support for Digital Audio and Video",2,30,67,"MJones"
"68",68,"MJones MichaelBJones JohnRegehr","CPU Reservations and Time Constraints: Implementation Experience on Windows NT ","Proceedings of the Third USENIX the Advanced Computing Systems Association Windows Symposium pages",2,14,68,"MJones"
"69",69,"MJones AloysiusKMok CDouglasLocke ConstanceLHeitmeyer KevinJeffay RagunathanRajkumar","Future Distributed Embedded and Real-Time Applications Will Be Adaptive: Meanings, Challenges and Research Paradigms Panel ","ICDCS International Conference Distributed Computing Systems",2,31,69,"MJones"
"70",70,"MJones MichaelBJones PaulJLeach RichardPDraves JosephSBarrera III","Modular Real-Time Resource Management in the Rialto Operating System ","Proceedings of the Fifth Workshop Hot Topics Operating Systems HotOS V Orcas Island pages IEEE Computer Society",2,15,70,"MJones"
"71",71,"MJones RichardFRashid","Mach and Matchmaker: Kernel and Language Support for Object-Oriented Distributed Systems ","OOPSLA Conference Object Oriented Programming Systems Languages and Applications",2,32,71,"MJones"
"72",72,"MJones MichaelBJones JosephSBarreraIII AlessandroForin PaulJLeach DanielaRosu Marcel CatalinRosu","An Overview of the Rialto Real-Time Architecture ","Proceedings of the Seventh ACM SIGOPS European Workshop Connemara pages",2,16,72,"MJones"
"73",73,"MJones JohnRegehr MichaelBJones JohnAStankovic","Operating System Support for Multimedia: The Programming Model Matters ","Microsoft Research Technical Report MSR TR",2,33,73,"MJones"
"74",74,"MJones MichaelBJones JohnRegehr","Predictable Scheduling for Digital Audio ","Microsoft Research Technical Report MSR TR",2,17,74,"MJones"
"75",75,"MJones JohnRegehr","The Problems You're Having May Not Be the Problems You Think You're Having: Results from a Latency Study of Windows NT ","IEEE Real Time Technology and Applications Symposium",2,34,75,"MJones"
"76",76,"MJones MichaelBJones StefanSaroiu","Predictable Scheduling for a Soft Modem ","Microsoft Research Technical Report MSR TR",2,18,76,"MJones"
"77",77,"MJones JohnRegehr","The Problems You're Having May Not Be the Problems You Think You're Having: Results from a Latency Study of Windows NT ","Workshop Hot Topics Operating Systems",2,35,77,"MJones"
"78",78,"MJones MichaelBJones StefanSaroiu","Predictability Requirements of a Soft Modem ","Proceedings of the ACM SIGMETRICS Measurement and Modeling of Computer Systems Conference Measurement and Modeling of Computer Systems",2,19,78,"MJones"
"79",79,"MJones JohnRegehr StefanSaroiu","Two Case Studies in Predictable Application Scheduling Using Rialto/NT ","IEEE Real Time Technology and Applications Symposium",2,36,79,"MJones"
"80",80,"MJones DanielaRosu Marcel CatalinRosu","CPU Reservations and Time Constraints: Efficient, Predictable Scheduling of Independent Activities ","SOSP Symposium Operating Systems Principles",2,37,80,"MJones"
"81",81,"MJones StefanSaroiu","Predictability requirements of a soft modem ","SIGMETRICS Measurement and Modeling of Computer Systems Performance",2,38,81,"MJones"
"82",82,"MJones MarvinTheimer MichaelBJones","Overlook: Scalable Name Service on an Overlay Network ","Proceedings of the International Conference Distributed Computing Systems ICDCS International Conference Distributed Computing Systems IEEE Computer Society",2,39,82,"MJones"
"83",83,"MJones MichaelBJones JohnRegehr","Issues in Using Commodity Operating Systems for Time-Dependent Tasks: Experiences from a Study of Windows NT ","Proceedings of the Eighth International Workshop Network and Operating Systems Support for Digital Audio and Video NOSSDAV Network and Operating System Support for Digital Audio and Video England",2,20,83,"MJones"
"84",84,"MJones MichaelBJones JohnRegehr","The Problems You're Having May Not Be the Problems You Think You're Having: Results from a Latency Study of Windows NT ","Proceedings of the Seventh Workshop Hot Topics Operating Systems HotOS VII Rio Rico IEEE Computer Society",2,21,84,"MJones"
"85",85,"MJones MichaelBJones JohnRegehr StefanSaroiu","Two Case Studies in Predictable Application Scheduling Using Rialto/NT ","Proceedings of the Seventh Real Time Technology and Applications Symposium RTAS IEEE Real Time Technology and Applications Symposium Taipei",2,22,85,"MJones"
"86",86,"MJones MichaelBJones","Bringing the C Libraries With Us into a Multi-Threaded Future ","Proceedings of the Winter Usenix Conference pages",2,23,86,"MJones"
"87",87,"MJones MaryRThompson RichardFRashid","Matchmaker: An Interface Specification Language for Distributed Processing ","POPL Symposium Principles of Programming Languages",2,40,87,"MJones"
"88",88,"MJones MichaelBJones","Consumer Real-Time Systems and Applications ","Invited position statement Distributed Systems Online Real Time and Embedded Systems area special issue Where is Real Time and Embedded Systems Research Going issue IEEE",2,24,88,"MJones"
"89",89,"MJones AlecWolman Anne MarieKermarrec AntonyITRowstron HelenJWang MarvinTheimer MiguelCastro","An Evaluation of Scalable Application-Level Multicast Built Using Peer-To-Peer Overlays ","INFOCOM The Conference Computer Communications",2,41,89,"MJones"
"90",90,"MJones MichaelBJones","Adaptive Real-Time Resource Management Supporting Composition of Independently Authored Time-Critical Services ","Proceedings of the Fourth Workshop Workstation Operating Systems WWOS Workshop Workstation Operating Systems now HotOS IV Computer Animation pages IEEE Computer Society",2,25,90,"MJones"
"91",91,"MJones AlecWolman MarvinTheimer NicholasJAHarvey StefanSaroiu","SkipNet: A Scalable Overlay Network with Practical Locality Properties ","USENIX the Advanced Computing Systems Association Symposium Internet Technologies and Systems",2,42,91,"MJones"
"92",92,"MJones MichaelBJones","Inheritance in Unlikely Places: Using Objects to Build Derived Implementations of Flat Interfaces ","Proceedings of the Second International Workshop Object Orientation Operating Systems IWOOOS pages IEEE Computer Society",2,26,92,"MJones"
"93",93,"MJones MichaelBJones","Interposition Agents: Transparently Interposing User Code at the System Interface ","Proceedings of the th ACM Symposium Operating Systems Principles ICSC Symposium Neural Computation pages",2,27,93,"MJones"
"94",94,"MJones MichaelBJones","The Microsoft Interactive TV System: An Experience Report ","Microsoft Research Technical Report MSR TR",2,28,94,"MJones"
"95",95,"MJones MichaelBJones","Transparently Interposing User Code at the System Interface ","Ph D thesis Carnegie Mellon University School of Computer Science Available Technical Report CMU CS",2,29,95,"MJones"
"96",96,"MJones ","Consumer Real-Time Systems ","ACM Comput Surv",2,1,96,"MJones"
"97",97,"MJones ","Adaptive Real-Time Resource Management Supporting Composition of Independently Authored Time-Critical Services ","Workshop Workstation Operating Systems",2,2,97,"MJones"
"98",98,"MJones ","Adaptive Real-Time Resource Management Supporting Modular Composition of Digital Multimedia Services ","NOSSDAV Network and Operating System Support for Digital Audio and Video",2,3,98,"MJones"
"99",99,"MJones ","Interposition Agents: Transparently Interposing User Code at the System Interface ","SOSP Symposium Operating Systems Principles",2,4,99,"MJones"
"100",100,"MJones ","Interposition Agents: Transparently Interposing User Code at the System Interface ","Secure Internet Programming",2,5,100,"MJones"
"101",101,"MJones ","A Toolkit for Interposing User Code at the System Interface Abstract ","Operating Systems Review",2,6,101,"MJones"
"102",102,"MJones AndrewBirrell EdwardWobber","A Simple and Efficient Implementation for Small Databases ","SOSP Symposium Operating Systems Principles",2,7,102,"MJones"
"103",103,"MJones WilliamJBolosky RichardPDraves RobertPFitzgerald ChristopherWFraser MichaelBJones ToddBKnoblock RickRashid","Operating System Directions for the Next Millennium ","Proceedings of the Sixth Workshop Hot Topics Operating Systems HotOS Cape Cod IEEE Computer Society",2,8,103,"MJones"
"104",104,"MJones WilliamJBolosky JosephSBarrera III RichardPDraves RobertPFitzgerald GarthAGibson MichaelBJones StevenPLevi NathanPMyhrvold RichardFRashid","The Tiger Video Fileserver ","Proceedings of the Sixth International Workshop Network and Operating System Support for Digital Audio and Video NOSSDAV Network and Operating System Support for Digital Audio and Video Zushi IEEE Computer Society",2,9,104,"MJones"
"105",105,"MJones LuisFelipeCabrera MichaelBJones MarvinTheimer","Herald: Achieving a Global Event Notification Service ","Proceedings of the Eighth Workshop Hot Topics Operating Systems HotOS VIII Elmau IEEE Computer Society",2,10,105,"MJones"
"106",106,"MJones GeorgeMCandea MichaelBJones","Vassal: Loadable Scheduler Support for Multi-Policy Scheduling ","Proceedings of the Second USENIX the Advanced Computing Systems Association Windows Symposium pages Given best student paper award",2,11,106,"MJones"
"107",107,"MJones JHess DLee SHarper PAthanas","Proceedings of IEEE Symposium on Field-Programmalbe Custom Computing Machines, Napa, CA, April, ","",3,10,107,"MJones"
"108",108,"MJones DavidCLee PeterMAthanas ScottFMidkiff","Towards Active Hardware ","IWAN International Working Conference Active Networks",3,11,108,"MJones"
"109",109,"MJones DavidALehn KiranPuttehowda JaeHPark PAthanas","Evaluation of Rapid Context Switching on a CSRC Device,,","ERSA",3,12,109,"MJones"
"110",110,"MJones TomMartin ZahiNakad","Communications in Electronic Textile Systems ","Communications Computing",3,13,110,"MJones"
"111",111,"MJones PaulEPlassmann","Solution of Large, Sparse Systems of Linear Equations in Massively Parallel Applications ","Supercomputing",3,30,111,"MJones"
"112",112,"MJones TomMartin ZahiNakad","A Service Backplane for e-Textiles,","MAMSET Proc Workshop Modeling Analysis and Middleware Support for Electronic Textiles",3,14,112,"MJones"
"113",113,"MJones LScharf JScott CTwaddle MYaconis KYao PAthanas BSchott","``Implementing an API for Distributed Adaptive Computing Systems,''","Proceedings of IEEE Symposium Field Programmable Custom Computing Machines Computer Animation",3,31,113,"MJones"
"114",114,"MJones ShashankMehrotra JaePark","Tasking Distributed Sensor Networks,","Int J of Supercomputer Applications",3,15,114,"MJones"
"115",115,"MJones DanielSzyld","``Two-stage Multisplitting Methods with Overlapping Blocks,''","Numerical Linear Algebra with Applications v",3,32,115,"MJones"
"116",116,"MJones JaePark MuktaNandwani PaulEPlassmann YanhuaYi","Examining the Communication Requirements of Remote Scientific Visualization ","Communications Computing",3,16,116,"MJones"
"117",117,"MJones MichaelTang PaulEPlassmann TomCanfield","Modeling Piezoelectric Crystals on the Intel Delta ","PPSC SIAM Conference Parallel Processing for Scientific Computing",3,33,117,"MJones"
"118",118,"MJones JaePark PaulEPlassmann YanhuaYi","The Use of Configurable Computing in Scientific Simulations ","PDPTA Parallel and Distributed Processing Techniques and Applications",3,17,118,"MJones"
"119",119,"MJones MerrellPatrick","``Factoring Indefinite Matrices on High-Performance Architectures,''","SIAM Society for Industrial and Applied Mathematics Journal Matrix Analysis and Applications v",3,18,119,"MJones"
"120",120,"MJones MerrellLPatrick","Vector and Parallel-Vector Implementations of Lanczo's Method for the Generalized Eigenvalue Problem ","PPSC SIAM Conference Parallel Processing for Scientific Computing",3,19,120,"MJones"
"121",121,"MJones ISWCProceedingsSixthInternationalSymposiumon  ","","",3,1,121,"MJones"
"122",122,"MJones WilliamBarry PaulPlassmann","``Parallel Adaptive Mesh Refinement Techniques for Plasticity Problems,''","Advances Engineering Software",3,2,122,"MJones"
"123",123,"MJones EloiseCoupey","A Script-Based Approach for E-Commerce Applications,","Quarterly Journal of Electronic",3,3,123,"MJones"
"124",124,"MJones JoshuaEdmison TomMartin ZahiNakad","Using Piezoelectric Materials for Wearable Electronic Textile ","ISWC International Symposium Wearable Computers",3,4,124,"MJones"
"125",125,"MJones JEdmison ZNakad TMartin"," Using piezoelectric materials for wearable electronic textiles, ","Wearable Computers",3,5,125,"MJones"
"126",126,"MJones LoriAFreitag PaulEPlassmann","A Parallel Algorithm for Mesh Smoothing ","PPSC SIAM Conference Parallel Processing for Scientific Computing",3,6,126,"MJones"
"127",127,"MJones LoriFreitag PaulPlassmann","``A Parallel Algorithm for Mesh Smoothing,''","SIAM Society for Industrial and Applied Mathematics Journal Scientific Computing",3,7,127,"MJones"
"128",128,"MJones LoriFreitag PaulPlassmann","``The Scalability of Mesh Improvement Algorithms,''","IMA Journal of Applied Mathematics Volumes Mathematics and its Applications v",3,8,128,"MJones"
"129",129,"MJones RobertGjertsen PaulPlassmann","``Parallel Heuristics for Improved, Balanced Graph Colorings,''","Journal of Parallel and Distributed Computing v",3,9,129,"MJones"
"130",130,"MJones PaulPlassmann","``Computational Results for Parallel Unstructured Mesh Computations''","Computing Systems Engineering v",3,20,130,"MJones"
"131",131,"MJones PaulPlassmann","``Adaptive Refinement of Unstructured Finite-Element Meshes,''","Journal of Finite Elements Analysis and Design v",3,21,131,"MJones"
"132",132,"MJones PaulPlassmann","``Algorithm : Fortran Subroutines to Compute Improved Incomplete Cholesky Factorizations,''","ACM Trans Mathematical Software v",3,22,132,"MJones"
"133",133,"MJones PaulPlassmann","``An Improved Incomplete Cholesky Factorization,''","ACM Trans Mathematical Software v",3,23,133,"MJones"
"134",134,"MJones PPlassmann","``Unstructured Mesh Computations on Networks of Workstations,''","Computer Aided Civil and Infrastructure Engineering",3,24,134,"MJones"
"135",135,"MJones PaulEPlassmann RobertKGjertsen","Parallel Heuristics for Improved, Balanced Graph Colorings ","J Parallel Distrib Comput",3,25,135,"MJones"
"136",136,"MJones PaulPlassmann","``Parallel Algorithms for Adaptive Mesh Refinement,''","SIAM Society for Industrial and Applied Mathematics Journal Scientific Computing v",3,26,136,"MJones"
"137",137,"MJones PaulEPlassmann","Parallel Solution of Unstructured, Sparse Systems of Linear Equations ","PPSC SIAM Conference Parallel Processing for Scientific Computing",3,27,137,"MJones"
"138",138,"MJones PaulEPlassmann","Recent Results in the Modeling of Type - II Superconductors on Massively Parallel Computers ","PPSC SIAM Conference Parallel Processing for Scientific Computing",3,28,138,"MJones"
"139",139,"MJones PaulEPlassmann","Scalable Iterative Solution of Sparse Linear Systems ","Parallel Computing",3,29,139,"MJones"
"140",140,"GBuchanan ABlandford MJones HThimbleby","Spatial hypertext as a Reader Tool in Digital Libraries ","ACM IEEE Joint Conference Digital Libraries Workshop Visual Interfaces to Digital Libraries",4,10,140,"MJones"
"141",141,"MJones GeorgeBuchanan HaroldWThimbleby","Sorting Out Searching on Small Screen Devices ","HCI Human Computer Interaction",4,11,141,"MJones"
"142",142,"MJones C eacute cileRigny HaroldWThimbleby YinLengTheng","HyperAT: HCI and Web Authoring ","BCS British Computer Society HCI Human Computer Interaction",4,12,142,"MJones"
"143",143,"PCurzon ABlandford MJones GMarsden MTools","Proceedings of the th Annual Conference on the Teaching of Computing Smith;August CTC Dublin University","",4,13,143,"MJones"
"144",144,"MJones PCWoodland","Using Relative Duration in Large Vocabulary Speech Recognition ","Proceedings of EuroSpeech",4,30,144,"MJones"
"145",145,"EdelGaldo PGough MJones RNoble PStenton","A New User Interface Metaphor for Mobile Personal Technologies ","J Siddiqi Wilkinson J Eds Companion Proceedings of People and Computers XIII UK",4,14,145,"MJones"
"146",146,"MJones GBuchanan","Search Interfaces for Handheld Web Browsers ","Poster Proceedings th International Conference World Wide Web",4,31,146,"MJones"
"147",147,"HDunlop MJones SJCunningham","A Digital Library of Conversational Expressions - Helping Profoundly Disabled Users Communicate ","Proceedings of the second ACM IEEE CS joint conference Digital libraries",4,15,147,"MJones"
"148",148,"MJones GBuchanan HThimbleby","Sorting Out Searching on Small Screen Devices ","Paterno F Ed Proceedings of the th International Symposium HCI Human Computer Interaction Pisa LNCS Springer",4,32,148,"MJones"
"149",149,"MJones PJain GBuchanan","Changing the Pace of Search - Supporting Background Information Needs ","CHI Conference Human Factors Computing Systems Workshop Search",4,16,149,"MJones"
"150",150,"MJones GMarsden NMohd Nasir GBuchanon","A Site Based Outliner for Small Screen Web Access ","Poster Proceedings of the th International Conference World Wide Web Toronto",4,33,150,"MJones"
"151",151,"MJones","Conventional art as Web Exhibits - a New Electronic Art Form ","Proc International Symposium Electronic Art",4,17,151,"MJones"
"152",152,"YLTheng CRigny HThimbleby MJones","HyperAT: HCI and Web Authoring ","O Conaill Thomas P J pp",4,50,152,"MJones"
"153",153,"MJones","The Use of Acoustic-Level Prosodics in Large Vocabulary Speech Recognition ","Ph D Thesis University of Engineering Department",4,34,153,"MJones"
"154",154,"MJones GMarsden","From the Large to the Small Screen Digest / : Colloquium on Issues for Networked Interpersonal Communications, , London, U K IEE Savoy Place, London ","",4,18,154,"MJones"
"155",155,"YLTheng MJones HThimbleby","Lost in Hyperspace - Psychological Problem or Bad Design?","Proceedings of the first Asia Pacific Conference Computer Human Interaction Information Technology Institute",4,51,155,"MJones"
"156",156,"GMarsden MJones","Ubiquitous Computing and Cellular Handsets--are Menus the Best Way Forward? ","South African Computer Journal Computer Society of South Africa",4,35,156,"MJones"
"157",157,"MJones NMohd Nasir GBuchanon","Evaluation of WebTwig - a Site Outliner for Handheld Web Access ","Gellerson H W Ubiquitous Computing Karlsrhue LNCS Springer",4,19,157,"MJones"
"158",158,"YLTheng CRigny HThimbleby MJones",", Improved Conceptual Design for Better Hypertext ","Adjunct Proceedings of BCS British Computer Society HCI Human Computer Interaction U K",4,52,158,"MJones"
"159",159,"GMarsden MJones","Ubiquitous Computing and Cellular Handsets - are Menus the Best Way Forward?","Proceedings of SAICSIT Best paper at conference winner",4,36,159,"MJones"
"160",160,"YLTheng HThimbleby MJones",", Reducing Information Overload: a Comparative Study of Hypertext Systems ","IEE Digest Colloquium Information Overload London U K IEE",4,53,160,"MJones"
