,Coauthor,Paper,Journal,AuthorID,PaperNO,PaperID,Author
30,K Tanaka;Chikashi Yajima ; Yoshihiro Nakanishi,Querying Video Data by Spatio-Temporal Relationships of Moving Object Traces ,VDB Visual Database Systems,1,97,30,KTanaka
31,K Tanaka;Shuzo Yajima ; Yahiko Kambayashi,Problems of Relational Database Design ,Data Base Design Techniques I,1,98,31,KTanaka
32,K Tanaka;Shuzo Yajima ; Yahiko Kambayashi,Organization of quasi-consecutive retrieval files ,Inf Syst,1,99,32,KTanaka
33,K Tanaka;Tatsuo Hirose ; Yoshihiro Nakanishi,Modeling and Structuring Multiple Perspective Video for Browsing ,ER International Conference Conceptual Modeling the Entity Relationship Approach,1,20,33,KTanaka
34,K Tanaka;Tatsuo Hirose ; Toshihiko Hata,Skimming Multiple Perspective Video Using Tempo-Spatial Importance Measures ,VDB Visual Database Systems,1,21,34,KTanaka
35,R Hull;M Yoshikawa;K Tanaka,"Behavior Analysis of Object-Oriented Databases: Method Structure, Execution Trees and Reachability Extended Abstract ,",Proc rd Int Conf Foundations of Data Organizations and Algorithms Lecture Notes Computer Science Springer Verlag,1,22,35,KTanaka
36,K Tanaka;Kozo Ishihara ; Masatoshi Yoshikawa,Schema Virtualization in Object-Oriented Databases ,ICDE International Conference Data Engineering,1,23,36,KTanaka
37,Y Kambayashi;K Takeda;S Yajima;K Tanaka,"Design Problems of Unnormalized Relations Utilizing Semantic Constraints in Relational Databases in Japanese ,",Trans of IPSJ,1,24,37,KTanaka
38,Y Kambayashi;K Tanaka,"Logical Integration of Locally Independent Relational Databases into a Distributed Database,",Proc th Int Conf Very Large Data Bases Cannes,1,25,38,KTanaka
39,Y Kambayashi;K Tanaka,"Interference Problems between Relational Queries and Dependency Constraints in Japanese ,",Trans of IPSJ,1,26,39,KTanaka
40,Y Kambayashi;S Yajima;K Tanaka,"Problems of Relational Database Design, Lecture Notes in Computer Science ,",Springer Verlag,1,27,40,KTanaka
41,K Tanaka;Hiroaki Oiso ; Keishi Tajima ; Masaki Kamiura,Spatial Views and LOD-Based Access Control in VRML-object Databases ,WWCA Worldwide Computing and Its Applications,1,60,41,KTanaka
42,Y Kambayashi;S Yajima;K Tanaka,"Properties of Embedded Multivalued Dependencies in Relational Databases,",Trans of IECE E,1,28,42,KTanaka
43,E Oomoto;K Tanaka,"Continuous Objects: A Data Model for Multi-Media Databases in Japanese ,", Proc of the JSSST Object Oriented Computing Workshop appeared Object Oriented Computing I Kindai Kagakusha,1,61,43,KTanaka
44,Y Kambayashi;S Yajima;K Tanaka,"Organization of Quasi-Consecutive Retrieval Files,",Information Systems Pergamon Press,1,29,44,KTanaka
45,E Oomoto;K Tanaka,"Design and Implementation of a Visual Query Language for Historical Databases,",Database Systems for Next generation Applications Advanced Database Research and Development Series World Scientific Publishing,1,62,45,KTanaka
46,E Oomoto;K Tanaka,"HistoryChart: A Visual Query language for Historical Databases,",Proc Int Symp Database Systems for Advanced Applications DASFAA Database Systems for Advanced Applications,1,63,46,KTanaka
47,E Oomoto;K Tanaka,"OVID: Design and Implementation of a Video-Object Database System,",IEEE Trans Knowledge and Data Engineering,1,64,47,KTanaka
48,K Tanaka;Eitetsu Oomoto,Video Database Systems - Recent Trends in Research and Development Activities ,Handbook of Multimedia Information Management,1,65,48,KTanaka
49,E Oomoto;K Tanaka,"Propagation-View: An Instance-based Inheritance Mechanism by Parial Order Relationships in Object-Oriented Databases, in Japanese ,",Trans of IPSJ,1,66,49,KTanaka
50,S Pradhan;T Jozen;K Tanaka,"Navigation of an Instance-based Object Database with Dynamic Inheritance Capability,",Proc Int Symp Advanced Database Technologies and Thier Integration ADTI Nara JapanCpp,1,67,50,KTanaka
51,K Tanaka;Qing Qian,Two-Level Schemata and Generalized Links for Hypertext Database Models ,Future Databases,1,68,51,KTanaka
52,Q Qiang;M Tanizaki;K Tanaka,"Abstraction and Inheritance of HyperLinks in an Object-Oriented Hypertext Database System TextLink/Gem,",Proc Int Symp Advanced Database Technologies and Thier Integration ADTI Nara,1,69,52,KTanaka
53,Y Kambayashi;S Yajima;K Tanaka,"A Relational Data Language with Simplified Binary Relation Handling Capability,",Proc rd Int Conf Very Large Data Bases Tokyo,1,30,53,KTanaka
54,Y Kambayashi;K Takeda;S Yajima;K Tanaka,"Representation of Relations for Database Output Utilizing Data Dependencies,",Proc th Int Conf System Sciences U S A,1,31,54,KTanaka
55,Y Kambayashi;S Yajima;K Tanaka,"Use of Abstracted Characteristics of Data in Relational Databases,",Proc IEEE rd Int Computer Software and Applications Conf,1,32,55,KTanaka
56,Y Kambayashi;S Yajima;K Tanaka,"Semantic Aspects of Data Dependencies and Their Application to Relational Database Design,",Proc IEEE rd Int Computer Software and Applications Conf,1,33,56,KTanaka
57,Y Kambayashi;K Takeda;K Tanaka,"Synthesis of Unnormallized Relations Incorporating More Meaning,",Information Sciences Elsevier Science Pub Inc,1,34,57,KTanaka
58,K Tanaka;Yahiko Kambayashi,Testing of Join Dependency Preserving by a Modified Chase Method ,MFCS Mathematical Foundations of Computer Science,1,35,58,KTanaka
59,K Tanaka;Hiroaki Kawagishi ; Kengo Koiso,Dynamic Zone Retrieval and Landmark Computation for Spatial Data ,Digital Cities,1,36,59,KTanaka
60,K Tanaka;Hiroaki Kawagishi ; Kengo Koiso ; Takahiro Matsumoto,InfoLOD and LandMark: Browsing and Retrieving Spatial Data ,CODAS The Second International Symposium Cooperative Database Systems for Advanced Applications,1,37,60,KTanaka
61,K Tanaka;Ma Qiang ; Shinya Miyazaki,WebSCAN: Discovering and Notifying Important Changes of Web Sites ,DEXA Database and Expert Systems Applications,1,70,61,KTanaka
62,K Tanaka;Hiroaki Kawagishi ; Kengo Koiso ; Takahiro Matsumoto ; Takehisa Mori,InfoLOD and LandMark: Spatial Presentation of Attribute Information and Computing Representative Objects for Spatial Data ,Int J Cooperative Inf Syst,1,38,62,KTanaka
63,N Sanada;K Tanaka,"Adding Methods to Relational Database Constructs,",Proc th Annual Int Computer Software and Applications Conf COMPSAC International Computer Software and Applications Conference IEEE Computer Society Press,1,71,63,KTanaka
64,S Kitamura;K Tanaka,"Design and Implementation of an Oriental Medicine Expert System, in Japanese ,",Trans of the Institute of Systems Control and Information Engineers,1,39,64,KTanaka
65,K Tanaka;Yoav Shoham,A Dynamic Theory of Incentives in Multi-Agent Systems ,IJCAI International Joint Conference Artificial Intelligence,1,72,65,KTanaka
66,K Tanaka;,Advanced Applications and Future Research Issues of OODBs ,DASFAA Database Systems for Advanced Applications,1,1,66,KTanaka
67,K Tanaka;Yuichi Sugiyama ; Yutaka Kidawara,A cost model and copyright management for D digital contents using multilevel complex objects ,Systems and Computers,1,73,67,KTanaka
68,K Tanaka;,Tree-Structured Data Organization with Consecutive Retrieval Property ,FODO Conference Foundations of Data Organization and Algorithms,1,2,68,KTanaka
69,K Tanaka;Kazutoshi Sumiya ; Satoshi Oyama ; Shinsuke Nakajima,Context-Dependent Web Bookmarks and Their Usage as Queries ,WISE Web Information Systems Engineering,1,74,69,KTanaka
70,K Tanaka;,Tea-Time Museum: Croquet As a Browsing and Searching Environment for Digital Libraries ,C,1,3,70,KTanaka
71,K Tanaka;Kazutoshi Sumiya ; Reiko Noda,Hypermedia Broadcasting with Temporal Links ,DEXA Database and Expert Systems Applications,1,75,71,KTanaka
72, K Tanaka,"Tree-Structured Data Organization with Consecutive Retrieval Property, Data Base File Organization,",Academic Press Proc Conf Consecutive Retrieval Property,1,4,72,KTanaka
73,K Tanaka;Kazutoshi Sumiya ; Reiko Noda,A temporal link mechanism for hypermedia broadcasting ,Systems and Computers,1,76,73,KTanaka
74,S Ceri;K Tanaka;D tsur;,"DOOD' Deductive and Object-Oriented Databases,",Springer verlag,1,5,74,KTanaka
75,K Tanaka;Keishi Tajima ; Masatsugu Kitagawa ; Yoshiaki Mizuuchi,"Cut as a Querying Unit for WWW, Netnews, e-mail ",Hypertext,1,77,75,KTanaka
76,T -S Chang;K Tanaka,Alternative Objects in Object-Oriented Databases,Proc Int Symp Database Systems for Advanced Applications DASFAA Database Systems for Advanced Applications,1,6,76,KTanaka
77,K Tanaka;Keishi Tajima ; Sujeet Pradhan ; Takashi Sogo,Algebraic Retrieval of Fragmentarily Indexed Video ,New Generation Comput,1,78,77,KTanaka
78,T -S Chang;K Tanaka,"On Natural Joins in Object-Oriented Databases,",Proc st Int Conf Deductive and Object Oriented Databases DOOD Elsevier Science Publishers B V North,1,7,78,KTanaka
79,K Tanaka;Akihiro Doi ; Kazutoshi Sumiya ; Kuniaki Uehara ; Tomoaki Kawaguchi,ScoopCast: Dynamic Video Production and Delivery from Indexed Live Video Stream ,ICSC International Computing Science Conferences,1,8,79,KTanaka
80,K Tanaka;Keishi Tajima ; Sujeet Pradhan,A Query Model for Retrieving Relevant Intervals within a Video Stream ,ICMCS International Conference Multimedia Computing and Systems,1,79,80,KTanaka
81,S Ghosh;Y Kambayashi;K Tanaka;,"FOUNDATIONS OF DATA ORGANIZATION,",Plenum Press,1,9,81,KTanaka
82,S Kitamura;S Tsuji;K Tanaka,"Visibility and Controllability in an Oriental Medicine Expert System,",Proc of the th IEEE Annual Int Computer Software Applications Conf,1,40,82,KTanaka
83,K Tanaka;Hidenari Kiyomitsu,Navigation-Dependent Web-Views: Defining and Controlling Semantic Unit of Web Pages ,ICSC International Computing Science Conferences,1,41,83,KTanaka
84,S Kobayashi;T Sakanoue;K Tanaka,"Uncertainty Management in Object-Oriented Database Systems,",Proc Int Conf Database and Expert Systems Applications DEXA Springer Verlag,1,42,84,KTanaka
85,K Tanaka;Kengo Koiso ; Kenji Kawakatsu ; Takehisa Mori,Dynamic Generation of Virtual Spaces and Incremental Query Formulation Using Spatial Browsing ,DEXA Database and Expert Systems Applications Workshop,1,43,85,KTanaka
86,K Tanaka;Kengo Koiso ; Takahiro Matsumoto,Spatial Presentation and Aggregation of Georeferenced Data ,DASFAA Database Systems for Advanced Applications,1,44,86,KTanaka
87,K Tanaka;Hiroyuki Kondo ; Takeshi Matsukura ; Yoichi Hirata,Discovery of Semantic Relationships among Web Pages Based on Web Topic Structures ,DS Discovery Science,1,45,87,KTanaka
88,K Tanaka;Chiyako Matsumoto ; Ma Qiang,A Localness-Filter for Searched Web Pages ,APWeb,1,46,88,KTanaka
89,K Tanaka;Chiyako Matsumoto ; Ma Qiang,Web Information Retrieval Based on the Localness Degree ,DEXA Database and Expert Systems Applications,1,47,89,KTanaka
90,K Tanaka;Keishi Tajima ; Sujeet Pradhan,A Query Model to Synthesize Answer Intervals from Indexed Video Units ,IEEE Trans Knowl Data Eng,1,80,90,KTanaka
91,K Tanaka;Akiyo Nadamoto ; Hiroyuki Kondo ; Kazutoshi Sumiya ; Machiko Kusahara ; Taeko Hattori,Back to the TV: Information Visualization Interfaces based on TV-Program Metaphors ,IEEE International Conference Multimedia and Expo III,1,48,91,KTanaka
92,K Tanaka;Keishi Tajima ; Sujeet Pradhan ; Takashi Sogo,A New Algebraic Approach to Retrieve Meaningful Video Intervals from Fragmentarily Indexed Video Shots ,VDB Visual Database Systems,1,81,92,KTanaka
93,K Tanaka;Akiyo Nadamoto,A comparative web browser CWB for browsing and comparing web pages ,WWW World Wide Web Conference Series,1,49,93,KTanaka
94,K Tanaka;Keishi Tajima,New Techniques for the Discovery of Logical Documents in Web ,DANTE Delivery of Advanced Network Technology to Europe,1,82,94,KTanaka
95,K Tanaka;Keishi Tajima ; Sujeet Pradhan,Utilizing Prototype Objects and Powerdomains to Support Public Authoring of Video Databases ,CODAS The Second International Symposium Cooperative Database Systems for Advanced Applications,1,83,95,KTanaka
96,K Tanaka;Atsunori Takeuchi ; Hidenari Kiyomitsu,Web Reconfiguration by Spatio-Temporal Page Personalization Rules Based on Access ,SAINT Symposium Applications and the Internet,1,84,96,KTanaka
97,K Tanaka;S Nishio;Kindai-Kagakusha;,"Object-Oriented Computing I in japanese ,",,1,85,97,KTanaka
98,K Tanaka,"Fundamental Concepts of Object-Oriented Databases in Japanese ,",Information Processing IPSJ,1,86,98,KTanaka
99,K Tanaka,"A Historical Database Model Based on Tuple Sequences and Its Integrity Constraints in Japanese ,",Information Processing of IPSJ Selected the IPSJ th Anniversary Paper,1,87,99,KTanaka
100,K Tanaka,"Integration of Hypermedia and Object-Oriented Database Technologies, in Japanese ,",Proc Int Symp Computer World,1,88,100,KTanaka
101,K Tanaka,"Storing and Manipulating Multimedia Database Objects by PostScript and Relational Databases,",Proc Int Symp Interoperable Information Systems INTAP Tokyo,1,89,101,KTanaka
102,S Ginsburg;K Tanaka,"Computation-tuple Sequences and Object Histories,",ACM Trans Database Systems,1,10,102,KTanaka
103,S Ginsburg;K Tanaka,"Computation-tuple Sequences and Object Histories: Extended Abstract,",Proc Int Conf Foundations of Data Organization Kyoto Plenum Press,1,11,103,KTanaka
104,K Tanaka;Seymour Ginsburg,Interval Queries on Object Histories ,Theor Comput Sci,1,12,104,KTanaka
105,K Tanaka;Shuzo Yajima ; Yahiko Kambayashi,A Relational Data Language with Simplified Binary Relation Handling Capability ,VLDB Very Large Data Bases,1,100,105,KTanaka
106,S Ginsburg;K Tanaka,"Interval Queries on Object Histories: Extended Abstract,",Proc th Int Conf Very Large Data Bases,1,13,106,KTanaka
107,K Tanaka;Kazuya Yoda ; Keishi Tajima,Access control and authorization for CG data with multiple detail levels ,Systems and Computers,1,101,107,KTanaka
108,K Tanaka;Hans-J&ouml;rg Schek ; M Tamer &Ouml;zsu ; Yanchun Zhang,Special Issue on The nd Web Information Systems Engineering Conference WISE' ,World Wide Web,1,14,108,KTanaka
109,K Tanaka;Masatoshi Yoshikawa ; Richard Hull,"Behavior Analysis of Object-Oriented Databases: Method Structure, Execution Trees, and Reachability Extended Abstract ",FODO Conference Foundations of Data Organization and Algorithms,1,102,109,KTanaka
110,K Tanaka;Craig Harris ; Earl D Saberdoti ; Fran&ccedil;ois Bancilhon ; Michael Kifer ; Michael L Brodie ; Yoshifumi Masunaga,Next Generation Database Management Systems Technology Panel ,DOOD Deductive and Object Oriented Databases,1,15,110,KTanaka
111,K Tanaka; Makoto Takizawa ; Naokazu Nemoto,Quality-based synchronization methods of multimedia objects ,Inf Sci,2,30,111,KTanaka
112,K Tanaka; Keiji Izaki ; Makoto Takizawa,Information Flow Control among Objects in Role-Based Access Control Model ,DEXA Database and Expert Systems Applications,2,31,112,KTanaka
113,K Tanaka; Hiroaki Higaki ; Makoto Takizawa,Object-Based Ordered Delivery of Messages in Object-Based Systems ,DEXA Database and Expert Systems Applications,2,32,113,KTanaka
114,K Tanaka; Makoto Takizawa,Protocol for Taking Object-Based Checkpoints ,DEXA Database and Expert Systems Applications,2,33,114,KTanaka
115,K Tanaka; Makoto Takizawa,Quorum-Based Locking Protocol in Nested Invocations of Methods ,DEXA Database and Expert Systems Applications,2,34,115,KTanaka
116,K Tanaka; Makoto Takizawa ; Naokazu Nemoto,Quality-Based Synchronization Methods of Multimedia Objects ,DEXA Database and Expert Systems Applications,2,35,116,KTanaka
117,K Tanaka; Hiroaki Higaki ; Makoto Takizawa,Significant Checkpoint in Distributed System ,DEXA Database and Expert Systems Applications,2,36,117,KTanaka
118,K Tanaka; Mamoru Mitsuishi ; Takaaki Nagao ; Yasuyoshi Yokokohji,Remote Rapid Manufacturing with Action Media as an Advanced User Interface ,ICRA International Conference Robotics and Automation,2,37,118,KTanaka
119,K Tanaka; Keiji Izaki ; Makoto Takizawa,Access Control Model in Object-Oriented Systems ,DBSec,2,1,119,KTanaka
120,K Tanaka; Makoto Takizawa,Quorum-Based Replication of Objects ,DEXA Database and Expert Systems Applications Workshop,2,2,120,KTanaka
121,K Tanaka; Hiroaki Higaki ; Makoto Takizawa,Protocol for Pseudo-Active Replication in Wide-Area Networks ,DEXA Database and Expert Systems Applications Workshop,2,3,121,KTanaka
122,K Tanaka; Makoto Takizawa ; Motokazu Yokoyama,QoS-Based Method for Compensating Multimedia Objects ,DEXA Database and Expert Systems Applications Workshop,2,4,122,KTanaka
123,K Tanaka; Keiji Izaki ; Makoto Takizawa,Authorization Model Based on Object-Oriented Concept ,ICOIN International Conference Information Networking,2,5,123,KTanaka
124,K Tanaka; Makoto Takizawa,Replica Management in Object-Based Systems ,ICOIN International Conference Information Networking,2,6,124,KTanaka
125,K Tanaka; Keijirou Arai ; Makoto Takizawa,Group Protocol for Delivering Requests to Replicas ,ICOIN International Conference Information Networking,2,7,125,KTanaka
126,K Tanaka; Kenichi Shimamura ; Makoto Takizawa,Object-Causally Ordered Group Protocol for Distributed Multimedia Systems ,ICOIN International Conference Information Networking,2,8,126,KTanaka
127,K Tanaka; Makoto Takizawa ; Youhei Timura,Causality of Messages in Object-Based Systems ,ICOIN International Conference Information Networking,2,9,127,KTanaka
128,K Tanaka; Hiroaki Higaki ; Makoto Takizawa,Protocol for Pseudo-Active Replication in Wide-Area Network ,ICPP International Conference Parallel Processing Workshops,2,10,128,KTanaka
129,K Tanaka; Hiroaki Higaki ; Makoto Takizawa,Checkpoints in Distributed Object-Based Systems ,ICPP International Conference Parallel Processing Workshops,2,11,129,KTanaka
130,K Tanaka; Hiroaki Higaki ; Makoto Takizawa,Quorum-Based Protocol for Group Communication ,ICPP International Conference Parallel Processing Workshops,2,12,130,KTanaka
131,K Tanaka; Hiroaki Higaki ; Makoto Takizawa ; Michiaki Katsumoto,Quality-Based Lock Modes of Multimedia Objects ,ICPP International Conference Parallel Processing Workshops,2,13,131,KTanaka
132,K Tanaka; Makoto Takizawa,Quorum-Based Locking Protocol for Replicas in Object-Based Systems ,ISADS International Symposium Autonomous Decentralized Systems,2,14,132,KTanaka
133,K Tanaka; Makoto Takizawa,Asynchronous Checkpointing Protocol for Object-Based Systems ,ISORC IEEE International symposium Object Oriented Real Time Distributed Computing,2,15,133,KTanaka
134,K Tanaka; Makoto Takizawa ; Youhei Timura,Group Protocol for Object-Based Systems ,ISORC IEEE International symposium Object Oriented Real Time Distributed Computing,2,16,134,KTanaka
135,K Tanaka; Hiroaki Higaki ; Makoto Takizawa ; Naokazu Nemoto,Pseudo-Active Replication Protocol for Reliable Replica Group ,ICDCS International Conference Distributed Computing Systems Workshop Group Communications and Computations,2,17,135,KTanaka
136,K Tanaka; Kenichi Shimamura ; Makoto Takizawa,Group Protocol for Exchanging Multimedia Objects in a Group ,ICDCS International Conference Distributed Computing Systems Workshop Group Communications and Computations,2,18,136,KTanaka
137,K Tanaka; Makoto Takizawa ; Youhei Timura,Group Communication Protocol in Object-Based Systems ,ICDCS International Conference Distributed Computing Systems Workshop Group Communications and Computations,2,19,137,KTanaka
138,K Tanaka; Keiji Izaki ; Makoto Takizawa,Information Flow Control in Role-Based Model for Distributed Objects ,ICPADS International Conference Parallel and Distributed Systems,2,20,138,KTanaka
139,K Tanaka; Makoto Takizawa,Checkpointing Protocol for Object-Based Systems ,ICPADS International Conference Parallel and Distributed Systems,2,21,139,KTanaka
140,K Tanaka; Makoto Takizawa,Optimization of Nested Invocation on Replicas in Object-Based Systems ,ICPADS International Conference Parallel and Distributed Systems,2,22,140,KTanaka
141,K Tanaka; Makoto Takizawa,Distributed checkpointing based on influential messages ,ICPADS International Conference Parallel and Distributed Systems,2,23,141,KTanaka
142,K Tanaka; Keijirou Arai ; Makoto Takizawa,Group Protocol for Quorum-Based Replication ,ICPADS International Conference Parallel and Distributed Systems,2,24,142,KTanaka
143,K Tanaka; Makoto Takizawa ; Motokazu Yokoyama,QoS-Based Method for Compensating Multimedia Objects ,ICPADS International Conference Parallel and Distributed Systems,2,25,143,KTanaka
144,K Tanaka; Makoto Takizawa ; Youhei Timura,Causal Precedent Relations among Messages in Object-Based Systems ,ICPADS International Conference Parallel and Distributed Systems,2,26,144,KTanaka
145,K Tanaka; Makoto Takizawa,Reliable Nested Invocation of Methods in Distributed Object-Based Systems ,DOA International Symposium Distributed Objects and Applications,2,27,145,KTanaka
146,K Tanaka; Hiroaki Higaki ; Makoto Takizawa,Pseudo-Active Replication of Distributed Objects in Wide-Area Networks ,DOA International Symposium Distributed Objects and Applications,2,28,146,KTanaka
147,K Tanaka; Hiroaki Higaki ; Makoto Takizawa,Quorum-based Locking Protocol for Replicated Objects ,DOA International Symposium Distributed Objects and Applications,2,29,147,KTanaka
148,K Tanaka; Masaharu Mizumoto ; Motohide Umano,Implementation of a Fuzzy-Set Theoretic Data Structure System Abstract ,VLDB Very Large Data Bases,3,1,148,KTanaka
149,K Tanaka; Jun'ichi Toyoda ; Masaharu Mizumoto,Some Considerations on Fuzzy Automata ,J Comput Syst Sci,3,2,149,KTanaka
150,K Tanaka; Jun'ichi Toyoda ; Masaharu Mizumoto ; Yoshinori Ezawa,Interactive Languages ,J Comput Syst Sci,3,3,150,KTanaka
151,K Tanaka; Masaharu Mizumoto,Some Properties of Fuzzy Sets of Type ,Information and Control,3,4,151,KTanaka
152,K Tanaka; Masaharu Mizumoto,Fuzzy Sets and Their Operations,Information and Control,3,5,152,KTanaka
153,K Tanaka; Jun'ichi Toyoda ; T Tsuji,Relational Data Graphs and Some Properties of Them ,J Comput Syst Sci,3,6,153,KTanaka
154,K Tanaka; Jun'ichi Toyoda ; Masaharu Mizumoto,Various Kinds of Automata with Weights ,J Comput Syst Sci,3,7,154,KTanaka
155,Kazuyuki Tanaka;Tohru Morita;Kazuo Hiroike,Correlation Functions of a One-Dimensional Lattice Gas with Interactions up to Third-Nearest Neighbors ,Progress of Theoretical Physics Supplement,4,30,155,KTanaka
156,Kazuyuki Tanaka;Tsuyoshi Horiguchi;Tohru Morita,Critical Indices for the Two-Dimensional Ising Model with Nearest-Neighbor and Next-Nearest-Neighbor Interactions ,Physics Letters A,4,31,156,KTanaka
157,Kazuyuki Tanaka;Tsuyoshi Horiguchi;Tohru Morita,Critical Indices for the Two-Dimensional Ising Model with Nearest-Neighbor and Next-Nearest-Neighbor Interactions II Strip Cluster Approximation ,Physica A,4,32,157,KTanaka
158,Kazuyuki Tanaka;Tohru Morita,Free Energy for Layered Free Fermion Models ,Journal of The Physical Society of,4,33,158,KTanaka
