,Coauthor,Paper,Journal,AuthorID,PaperNO,PaperID,Author
12,S Lee; Nam Ik Cho ; Yoon Gi Yang,On the performance analysis of the subband adaptive digital filter ,ISCAS IEEE International Symposium Circuits and Systems,10,21,12,SLee
13,S Lee; In Kyu Park ; Kyoung Mu Lee,Perceptual Grouping of -D Features in Aerial Image Using Decision Tree Classifier ,ICIP International Conference Image Processing,10,1,13,SLee
14,S Lee; In Kyu Park,Geometric Modeling from Scattered -D Range Data ,ICIP International Conference Image Processing,10,2,14,SLee
15,S Lee; Ja Seong Ku ; Kyoung Mu Lee,Multi-Image Matching for a General Motion Stereo Camera Model ,ICIP International Conference Image Processing,10,3,15,SLee
16,S Lee; Eunjin Jung ; Il Dong Yun,Recovery of -D Shape using Hybrid Reflectance Model ,ICIP International Conference Image Processing,10,4,16,SLee
17,S Lee; Hee Soo Yang,Split-and-Merge Segmentation Employing Thresholding Technique ,ICIP International Conference Image Processing,10,5,17,SLee
18,S Lee; Chang-Su Kim ; Rin-Chul Kim,Robust Transmission of Video Over Noisy Channel Using Parity Motion Vector ,ICIP International Conference Image Processing,10,6,18,SLee
19,S Lee; Il Dong Yun ; Jeong Hee Kim,Unsupervised Segmentation of Textured Image using Markov Random Field in Random Spatial Interaction ,ICIP International Conference Image Processing,10,7,19,SLee
20,S Lee; Il Dong Yun ; Inseo Han,Model-Based Object Recognition Using the Hausdorff Distance with Explicit Pairing ,ICIP International Conference Image Processing,10,8,20,SLee
21,S Lee; In Kyu Park ; Kyoung Mu Lee,Recognition and Reconstruction of -D Objects Using Model-Based Perceptual Grouping ,ICPR International Conference Pattern Recognition,10,9,21,SLee
22,S Lee; Tok Wang Ling,Improving Integrity Constraint Checking for Stratified Deductive Databases ,DEXA Database and Expert Systems Applications,11,10,22,SLee
23,S Lee; Tok Wang Ling,Refined Termination Decision in Active Databases ,DEXA Database and Expert Systems Applications,11,11,23,SLee
24,S Lee; Tok Wang Ling,Verify Updating Trigger Correctness ,DEXA Database and Expert Systems Applications,11,12,24,SLee
25,S Lee; Hua-Gang Li ; Tok Wang Ling,Range-Max/Min Query in OLAP Data Cube ,DEXA Database and Expert Systems Applications,11,13,25,SLee
26,S Lee; Gillian Dobbie ; Leonid A Kalinichenko ; Mong-Li Lee ; Tok Wang Ling,Designing Semistructured Databases: A Conceptual Approach ,DEXA Database and Expert Systems Applications,11,14,26,SLee
27,S Lee; Bin Cui ; Chuan-Heng Ang ; Tok Wang Ling ; ZhongWei Luo,Range Top/Bottom k Queries in OLAP Sparse Data Cubes ,DEXA Database and Expert Systems Applications,11,15,27,SLee
28,S Lee; Chuan-Heng Ang ; Tok Wang Ling ; Zheng Xuan Loh,Adaptive Method for Range Top- k Queries in OLAP Data Cubes ,DEXA Database and Expert Systems Applications,11,16,28,SLee
29,S Lee; Mong-Li Lee ; Tok Wang Ling,Updatability in Federated Database Systems ,DEXA Database and Expert Systems Applications,11,17,29,SLee
30,S Lee; Boon Tun Wee ; Tok Wang Ling,DO : Deductive Object-Oriented Database System ,DEXA Database and Expert Systems Applications,11,18,30,SLee
31,S Lee; Hua-Gang Li ; Tok Wang Ling ; Wai Chong Low ; Zhong Wei Luo,Variable Sized Partitions for Range Query Algorithms ,DEXA Database and Expert Systems Applications,11,19,31,SLee
32,S Lee; Tok Wang Ling,Further Improvements on Integrity Constraint Checking for Stratifiable Deductive Databases ,VLDB Very Large Data Bases,11,1,32,SLee
33,S Lee; Tok Wang Ling,Unrolling Cycles to Decide Trigger Termination ,VLDB Very Large Data Bases,11,2,33,SLee
34,S Lee; Hua-Gang Li ; Tok Wang Ling,Hierarchical Compact Cube for Range-Max Queries ,VLDB Very Large Data Bases,11,3,34,SLee
35,S Lee; Hua-Gang Li ; Tok Wang Ling ; Zheng Xuan Loh,Range Sum Queries in Dynamic OLAP Data Cubes ,CODAS The Second International Symposium Cooperative Database Systems for Advanced Applications,11,4,35,SLee
36,S Lee; Tok Wang Ling,Are Your Trigger Rules Correct?,DEXA Database and Expert Systems Applications Workshop,11,5,36,SLee
37,S Lee; Tok Wang Ling,Improving Integrity Checking for Exists-Constraints ,DASFAA Database Systems for Advanced Applications,11,6,37,SLee
38,S Lee; Tok Wang Ling,A Path Removing Technique for Detecting Trigger Termination ,EDBT Extending Database Technology,11,20,38,SLee
39,S Lee; Gillian Dobbie ; Mong-Li Lee ; Tok Wang Ling ; Xiaoying Wu,NF-SS: A Normal Form for Semistructured Schema ,ER International Conference Conceptual Modeling the Entity Relationship Approach Workshops,11,7,39,SLee
40,S Lee; Pei Yuen Wong ; Wai Lup Low,Learning Fingerprints for a Database Intrusion Detection System ,ESORICS the European Symposium Research Computer Security,11,21,40,SLee
41,S Lee; Leonid A Kalinichenko ; Mong-Li Lee ; Tok Wang Ling,Designing Good Semi-Structured Databases and Conceptual Modeling ,ER International Conference Conceptual Modeling the Entity Relationship Approach,11,8,41,SLee
42,S Lee; Chuan-Heng Ang ; Tok Wang Ling ; Zheng Xuan Loh,Analysis of pre-computed partition top method for range top-k queries in OLAP data cubes ,CIKM International Conference Information and Knowledge Management,11,9,42,SLee
43,S Lee;H Kim;S -g Lee,"User-Feedback Driven Document Clustering Technique for Information Organization,",IEICE Transactions Information and Systems E D,12,20,43,SLee
44,S Lee;H Kim;S -g Lee,"Automatic Maintenance of Evolving Topic Structure in Intelligent Information Systems,",Proceedings of Conference Advances Intelligent Systems,12,21,44,SLee
45,S Lee;H Kim;T Lee;S -g Lee;J Chun,"Automated Data Warehousing for Rule-based CRM Systems,",Proceedings of the th Australasian Database Conference,12,22,45,SLee
46,S Lee;T Lee;J Shim;S -g Lee,"DOC: A Distributed Object Caching System for Information Infrastructure,",Proceedings of the Human Society Internet Conference Lecture Notes Computer Science,12,23,46,SLee
47,S Lee;S -g Lee;D Kim;C Wu,"Digital Catalog Library: A Shared Repository of Online Catalogs for Electronic Commerce,",Proceedings of Workshop Advanced Issues of E and Web based Information Systems,12,24,47,SLee
48,Juhnyoung Lee ; Suekyung Lee,A Framework of Winner Determination Algorithms for Internet Auctions ,Human Society Internet,12,25,48,SLee
49,S Lee;S -g Lee;L Henschen;J Chun;T Lee,"Semantic Query Reformulation in Deductive Databases,",Information and Software Technology,12,26,49,SLee
50,S Lee;S -g Lee;S Mun;P Jha;B Levine;D Ro,"Telemedicine: Challenges and Opportunities,",Journal of High Speed Networks,12,27,50,SLee
51,S Lee;G Park;J Oh;K Kim;S -g Lee;C Wu,"A Component-based Architecture for Digital Catalog Library Systems,",Proceedings of Software Architecture and Components Workshop,12,28,51,SLee
52,S Lee;Ghassan Z Qadah ; Lawrence J Henschen,Semantic Query Reformulation in Deductive Databases ,ICDE International Conference Data Engineering,12,29,52,SLee
53,S Lee;Junho Shim ; Taehee Lee,DOC: A Distributed Object Caching System for Information Infrastructure ,Human Society Internet,12,30,53,SLee
54,S Lee;Junho Shim ; Taehee Lee,A Server Placement Algorithm Conscious of Communication Delays and Relocation Costs ,NETWORKING Workshops,12,31,54,SLee
55,J Shim;T Lee;S Lee,"A Server Placement Algorithm Conscious of Communication Delays and Relocation Costs,",Proceedings of the Web Engineering Conference Lecture Notes Computer Science,12,32,55,SLee
56,S Lee;Chisu Wu ; Geunduk Park ; Jaewon Oh ; Kapsoo Kim,Catalog Sharing through Catalog Interoperability ,Human Society Internet,12,33,56,SLee
57,S Lee;Chisu Wu ; Dongkyu Kim ; Kapsoo Kim ; Woochang Shin,Digital Catalog Library: A Shared Repository of Online Catalogs for Electronic Commerce ,WECWIS Workshop Advanced Issues of E and Web based Information Systems,12,34,57,SLee
58,S Lee;Jae-young Chang,Query Reformulation Using Materialized Views in Data Warehousing Environment ,DOLAP International Workshop Data Warehousing and OLAP,12,1,58,SLee
59,S Lee;Jae-young Chang,Extended Conditions for Answering an Aggregate Query Using Materialized Views ,Inf Process Lett,12,2,59,SLee
60,S Lee;Jae-young Chang,An Extended Query Reformulation Technique Using Materialized Views ,DEXA Database and Expert Systems Applications Workshop,12,3,60,SLee
61,S Lee;Jae-Heon Cheong,A Boolean Query Processing with a Result Cache in Mediator Systems ,ADL Advances Digital Libraries,12,4,61,SLee
62,S Lee;J Cheong;S -g Lee,"Cache-based Query Processing for a Keyword-based Boolean Query Model in Mediator,",Proceedings of IEEE Advances Digital Libraries,12,5,62,SLee
63,S Lee;Jae-Heon Cheong ; Jonghoon Chun,A Method for Processing Boolean Queries Using a Result Cache ,DEXA Database and Expert Systems Applications,12,6,63,SLee
64,Dong-Hoon Choi ; Sang-Ho Lee,A Logic Database System with Extended Functionality ,COMPSAC International Computer Software and Applications Conference,12,7,64,SLee
65,S Lee;J Chun;H Kim;S -g Lee;J Choi;H Cho,"A DBMS-based Medical Teleconference System,",Journal of the American Medical Informatics Association,12,8,65,SLee
66,S Lee;S Hyun;J Choi;J Chun;S -g Lee;D Shin,"Implementation of Mobile Computing System in Clinical Environment - MobileNurse TM ,",Proceedings of the American Medical Informatics Association Conference,12,9,66,SLee
67,S Lee;J Jung;D Kim;S -g Lee,"EE-Cat: Extended Electronic Catalog for Dynamic and Flexible Electronic Commerce,",Proceedings of Information Resources Management Association Conference,12,10,67,SLee
68,S Lee;Han-joon Kim,Building topic hierarchy based on fuzzy relations ,Neurocomputing,12,11,68,SLee
69,S Lee;D Kim;S -g Lee,"Catalog Management in e-Commerce Systems,",Proceedings of International Conference Computer Science and Technology,12,12,69,SLee
70,S Lee;D Kim;J Kim;S -g Lee,"Catalog Integration for Electronic Commerce through Category-Hierarchy Merging Technique,",Proceedings of Workshop Research Issues Data Engineering E E Business Systems RIDE Research Issues Data Engineering EC,12,13,70,SLee
71,S Lee;H Kim;S -g Lee,"Discovering Taxonomic Relationships from Textual Documents,",Proceedings of IASTED Applied Informatics Conference,12,14,71,SLee
72,S Lee;H Kim;S -g Lee,"An Effective Document Clustering Method using User-Adaptable Distance Metrics,",Proceedings of ACM Symposium Applied Computing,12,15,72,SLee
73,S Lee;H Kim;S -g Lee,"An Effective Flash Memory Manager for Reliable Flash Memory Space Management,",IEICE Transactions Information and Systems E D,12,16,73,SLee
74,S Lee;K Kim;D Kim;J Kim;S Park;I Lee;S -g Lee,"An Experimental Evaluation of Dynamic Electronic Catalog Models in Relational Database Systems,",Proceedings of Information Resources Management Association Conference,12,17,74,SLee
75,S Lee;Han-joon Kim,A New Flash Memory Management for Flash Storage System ,COMPSAC International Computer Software and Applications Conference,12,18,75,SLee
76,S Lee;Han-joon Kim,A Semi-Supervised Document Clustering Technique for Information Organization ,CIKM International Conference Information and Knowledge Management,12,19,76,SLee
77,S Lee;S Lin;S W Lee, Generation of Diffuse and Specular Appearance from Photometric Images , Proc IEEE International Conference Computer Vision Kerkyra,13,33,77,SLee
78,S Lee;Stephen Lin,An Appearance Representation for Multiple Reflection Components ,CVPR Computer Vision and Pattern RecognitioN,13,34,78,SLee
79,S Lee;S Lin;S W Lee, A Representation of Specular Appearance , Proc IEEE International Conference Computer Vision Kerkyra,13,35,79,SLee
80,S Lee;S Lin;S W Lee," Using Chromaticity Distributions and Eigenspace for Pose-, Illumination-, and Specularity-Invariant D Object Recognition ", Proc IEEE Conference Computer Vision and Pattern Recognition San Juan Puerto Rico,13,36,80,SLee
81,S Lee;Stephen Lin,"Using Chromaticity Distributions and Eigenspace Analysis for Pose, Illumination, and Specularity-Invariant Recognition of D Objects ",CVPR Computer Vision and Pattern RecognitioN,13,37,81,SLee
82,S Lee;Stephen Lin,Estimation of Diffuse and Specular Appearance ,ICCV International Conference Computer Vision,13,38,82,SLee
83,S Lee;C H Oh;H S Kim;H W Park;W S Kim;S W Lee;Z H Cho," Study of R F , Gradient Pulse and Magnet Instability Effect in NMR Tomography ", IEEE Trans Nucl Sci,13,39,83,SLee
84,S Lee;E Angelopoulou;S W Lee;R Bajcsy, Spectral Gradient: A Material Descriptor Invariant to Geometry and Incident Illumination , Proc IEEE International Conference Computer Vision Kerkyra,13,1,84,SLee
85,S Lee;K Arthur;G Bishop;R Bajcsy;H Farid;H Fuchs;S W Lee;;L McMillan;A State, Virtual Reality and Telepresence for st Century Remote Medical Consultation , Second Carolina Conf Biomed Eng ICSC Symposium Neural Computation,13,2,85,SLee
86,S Lee;R Bajcsy;S W Lee;A Leonardis," Color Image Segmentation Detection of Highlights and Local Illumination Induced by Inter-reflections, ",Proc of the th International Conference Pattern Recognition Atlantic City,13,3,86,SLee
87,S Lee;R Bajcsy;S W Lee;A Leonardis," Color Image Segmentation Detection of Highlights and Local Illumination Induced by Inter-reflections, ",Physics Based Vision Principles and Practice Color Ed G E Healey S A Shafer and L B Wolff Jones and Publishers p,13,4,87,SLee
88,S Lee;R Bajcsy;S W Lee;A Leonardis," Color Image Segmentation and Color Constancy, ",Proc of SPIE The International Society for Optical Engineering Conference Santa Clara Computer Animation,13,5,88,SLee
89,S Lee;R Bajcsy;S W Lee;A Leonardis, Computational Aspects of Color Constancy , GRASP Laboratory Technical Report CIS University of,13,6,89,SLee
90,S Lee;R Bajcsy;S W Lee;A Leonardis, Detection of Diffuse and Specular Interface Reflections and Inter-reflections by Color Image Segmentation ,International Journal of Computer Vision,13,7,90,SLee
91,S Lee;Ruzena Bajcsy,Detection of Specularity Using Color and Multiple Views ,ECCV European Conference Computer Vision,13,8,91,SLee
92,S Lee;R Bajcsy;S W Lee;A Leonardis, Image Segmentation detection of Highlights and Inter-reflections Using Color , Proc of the Image Understanding and Machine Vision Topical Meeting Cape Cod,13,9,92,SLee
93,S Lee;In Kyu Park ; Sang Uk Lee,Shape-Adaptive -D Mesh Simplification Based on Local Optimality Measurement ,Pacific Conference Computer Graphics and Applications,13,40,93,SLee
94,S Lee;G Sharp;S W Lee;D Wehe, An Appearance Representation for Multiple Reflection Components , Proc IEEE Conference Computer Vision and Pattern Recognition Hilton Head Island Supercomputing,13,41,94,SLee
95,S Lee;G Sharp;S W Lee;D Wehe, Range Image Registration using Extended Feature Vectors , Proc IEEE International Conference Robotics and Automation,13,42,95,SLee
96,S Lee;S Sull;J Oh;S Oh;S M H Song;S W Lee, Relevance Graph-Based Image Retrieval , Proc IEEE International Conference Multimedia and Expo New,13,43,96,SLee
97,S Lee;David K Wehe ; Gregory C Sharp,ICP Registration Using Invariant Features ,IEEE Transactions Pattern Analysis and Machine Intelligence,13,44,97,SLee
98,S Lee;David K Wehe ; Gregory C Sharp,Multiview Registration of D Scenes by Minimizing Error between Coordinate Frames ,ECCV European Conference Computer Vision,13,45,98,SLee
99,S Lee;David K Wehe ; Gregory C Sharp,Invariant Features and the Registration of Rigid Bodies ,ICRA International Conference Robotics and Automation,13,46,99,SLee
100,S Lee;David K Wehe ; Gregory C Sharp,Toward Multiview Registration in Frame Space ,ICRA International Conference Robotics and Automation,13,47,100,SLee
101,S Lee;Daniel Berwick,"A Chromaticity Space for Specularity-, Illumination Color- and Illumination Pose-Invariant -D Object Recognition ",ICCV International Conference Computer Vision,13,10,101,SLee
102,S Lee;D Berwick;S W Lee," Specularity-, Illumination Color- and Pose-Invariant Chromaticity Space for -D Object Recognition ", Proc IEEE International Conference Computer Vision Bombay,13,11,102,SLee
103,S Lee;D Berwick;S W Lee, Spectral Gradients for Color-Based Object Recognition and Indexing ,,13,12,103,SLee
104,S Lee;D Berwick;S W Lee, Spectro-Spatial Gradients for Color-Based Object Recognition and Indexing , Proc International Conference Computer Analysis of Images and Patterns Ljubljana,13,13,104,SLee
105,S Lee;D Berwick;S W Lee, Spectro-Spatial Gradients for -D Object Recognition and Indexing ,,13,14,105,SLee
106,S Lee;Z H Cho;H W Park;J B Ra;S W Lee;S K Hilal, Echo-Time Encoded Chemical Shift NMR Spectroscopic Imaging Technique , Proc rd Annual Meeting Society of Magnetic Resonance Medicine New,13,15,106,SLee
107,S Lee;Z H Cho;H S Kim;C H Oh;H W Park;S W Lee;,NMR Imaging: Principles;Algorithms;,Lecture Note Medical Informatics Systems Selected Topics Image Science Z H Cho Springer Verlag p,13,16,107,SLee
108,S Lee;Z H Cho;S W Lee, Short T Sodium Imaging Using Quadrature Coils KAIS Tesla Superconducting NMR system , Proc th Annual Meeting Society of Magnetic Resonance Medicine Montreal,13,17,108,SLee
109,S Lee;H Farid;S W Lee;R Bajcsy," View Selection Strategies for Multi-View, Wide-Baseline Stereo ", GRASP Laboratory Technical Report CIS University of,13,18,109,SLee
110,S Lee;C Frost;S W Lee;R Johnson;Y L Murphy, Research on Human-centered Design and Evaluation of Multimode Image Retrieval , Proc Fourth DELOS Workshop Pisa,13,19,110,SLee
111,S Lee;H Fuchs;G Bishop;K Arthur;L McMillan;R Bajcsy;S W Lee;H Farid;T Kanade, Visual Space Teleconferencing Using a Sea of Cameras , Proc of the First Intern Symp Med Robotics and Comput Assisted Surgery,13,20,111,SLee
112,S Lee;W H Garner;S K Hilal;S W Lee;A Spector, Sodium- Magnetic Resonance Imaging of the Eye and Lens , Proc Natl Acad Sci,13,21,112,SLee
113,S Lee;Z He;J Obermark;J Du;S W Lee;D K Wehe;G F Knoll, The CSPD- Gamma-Ray Vision System , Proc IEEE Nuclear Science Symposium Medical Imaging Conference Part of San Francisco,13,22,113,SLee
114,S Lee;S K Hilal;S W Lee;Z H Cho;S K Mun;J B Ra;M Mawad;A J Silver;P Sane, Proton and Sodium NMR , Proc rd Annual Meeting Society of Magnetic Resonance Medicine New,13,23,114,SLee
115,S Lee;S W Lee;R Bajcsy," Detection of Specularity Using Color and Multiple Views, ",Image and Vision Computing,13,24,115,SLee
116,S Lee;S W Lee;R Bajcsy," Detection of Specularity Using Color and Multiple Views, ",Proc of European Conference Computer Vision S Margherita Ligure,13,25,116,SLee
117,S Lee;S W Lee;Z H Cho, Limited Angular View Planar-Integral Projection Reconstruction in NMR imaging , IEEE Trans Nucl Sci,13,26,117,SLee
118,S Lee;S W Lee;S K Hilal;Z H Cho, A Multinuclear Magnetic Resonance Imaging Technique - Simultaneous Proton and Sodium Imaging , Mag Res Imaging,13,27,118,SLee
119,S Lee;S W Lee;S K Hilal;J B Ra;J H Kim;S K Mun;Z H Cho, Implementation of Simultaneous Multinuclear MR Imaging: Proton and Sodium , Radiology Scientific Program th RSNA Annual Meeting D C,13,28,119,SLee
120,S Lee;S W Lee, Where am I? , Sensors and Methods for Robot Positioning J Borenstein ed Report to US Dept of Energy Published CD IFIP ACM Working Conference Component Deployment ROM by A K Peters,13,29,120,SLee
121,S Lee;S W Lee;A Jaklic;R;Bajcsy;F Solina," Analysis of Multiple Reflection Components, ",Proc of IEEE Conference Melecom Ljubljana,13,30,121,SLee
122,S Lee;S Lin;S W Lee, Detection of Specularity Using Stereo in Color and Polarization Space , Computer Vision and Image Understanding,13,31,122,SLee
123,S Lee;S Lin;S W Lee, Detection of Specularity Using Stereo in Color and Polarization Space , Proc International Conference Pattern Recognition,13,32,123,SLee
124,S Lee; Byeong-Soo Jeong ; Hyonwoo Seung,A Secure Dynamic Copy Protocol in Real-Time Secure Database Systems ,Workshop Languages Compilers and Tools for Embedded Systems,14,1,124,SLee
125,S Lee; Hyonwoo Seung ; Taewoong Jeon,An Integrated Push/Pull Buffer Management Method in Multimedia Communication Environments ,LCTES Languages Compilers and Tools for Embedded Systems,14,2,125,SLee
126,S Lee; Hyonwoo Seung ; Taewoong Jeon,Embedding built-in tests in hot spots of an object-oriented framework ,SIGPLAN Special Interest Group Programming Languages Notices,14,3,126,SLee
127,S Lee; Hyonwoo Seung ; Sunghwan Roh ; Taewoong Jeon,The Design and Implementation of an Object-Oriented Process Control Loop Framework ,AISA Advanced Internet Services and Applications,14,4,127,SLee
128,S Lee; Hyonwoo Seung ; Taewoong Jeon,Increasing the Testability of Object-Oriented Frameworks with Built-in Tests ,AISA Advanced Internet Services and Applications,14,5,128,SLee
129,S Lee; Hyungill Kim ; Jongwon Lee,A Network Channel Buffer Scheduling Algorithm for an Interactive VOD Server ,FTDCS Future Trends Distributed Computing Systems,14,6,129,SLee
130,S Lee; Hyungill Kim ; Jongwon Lee,Scheduling of Hard Aperiodic Tasks in Hybrid Static/Dynamic Priority Systems ,Workshop Languages Compilers amp Tools for Real Time Systems,14,7,130,SLee
131,S Lee; Byeong-Soo Jeong ; Daeho Kim,Optimistic Secure Real-Time Concurrency Control Using Multiple Data Version ,LCTES Languages Compilers and Tools for Embedded Systems,14,10,131,SLee
132,S Lee; Hyungill Kim ; Jongwon Lee,Scheduling Soft Aperiodic Tasks in Adaptable Fixed-Priority Systems ,Operating Systems Review,14,8,132,SLee
133,S Lee; Byeong-Soo Jeong ; Hyonwoo Seung,A Secure Dynamic Copy Protocol in Real-Time Secure Database Systems ,Workshop Languages Compilers and Tools for Embedded Systems,14,11,133,SLee
134,S Lee; Byeong-Soo Jeong ; Hyung-Il Kim ; Young-Rae Hong,Design and Implementation of the Content Manager in a Multimedia Streaming Framework ,PDPTA Parallel and Distributed Processing Techniques and Applications,14,9,134,SLee
135,S Lee; Hyonwoo Seung ; Taewoong Jeon,An Integrated Push/Pull Buffer Management Method in Multimedia Communication Environments ,LCTES Languages Compilers and Tools for Embedded Systems,14,12,135,SLee
136,S Lee; Hyonwoo Seung ; Taewoong Jeon,Embedding built-in tests in hot spots of an object-oriented framework ,SIGPLAN Special Interest Group Programming Languages Notices,14,13,136,SLee
137,S Lee; Tzilla Elrad ; Ufuk Verun,Extending Working Evnrironments for the Development of Reactive/Adaptive Systems with Intelligent Controls ,Europe,14,14,137,SLee
138,S Lee; Choong Seon Hong ; Zhaowei Qu,A QoS Provision Architecture for Mobile IPv over MPLS Using HMAT ,EurAsia ICT International Conference Telecommunications,14,15,138,SLee
139, Sugh-Hoon Lee,Retransmission Scheme for MPEG Streams in Mission Critical Multimedia Applications ,EUROMICRO,14,16,139,SLee
140,S Lee; Chong-Sun Hwang ; SungSuk Kim,Using reordering technique for mobile transaction management in broadcast environments ,Data Knowl Eng,15,10,140,SLee
141,S Lee; Chong-Sun Hwang ; HeonChang Yu,Revisiting Transaction Management in Multidatabase Systems ,Distributed and Parallel Databases,15,11,141,SLee
142,S Lee; Chong-Sun Hwang ; Masaru Kitsuregawa,Using Predeclaration for Efficient Read-Only Transaction Processing in Wireless Data Broadcast ,IEEE Trans Knowl Data Eng,15,12,142,SLee
143,S Lee; Chong-Sun Hwang ; HeonChang Yu ; SungSuk Kim,Optimistic Scheduling Algorithm for Mobile Transactions Based on Reordering ,Data Management,15,13,143,SLee
144,S Lee; Chong-Sun Hwang ; Soon Young Jung ; SungSuk Kim,O-PreH: Optimistic Transaction Processing Algorithm based on Pre-Reordering in Hybrid Broadcast Environments ,CIKM International Conference Information and Knowledge Management,15,14,144,SLee
145,S Lee; Chong-Sun Hwang ; WonGye Lee,A Uniform Approach to Global Concurrency Control and Recovery in Multidatabase Environment ,CIKM International Conference Information and Knowledge Management,15,15,145,SLee
146,S Lee; Chong-Sun Hwang ; Soon Young Jung,A New Conflict Relation for Concurrency Control and Recovery in object-based Databases ,CIKM International Conference Information and Knowledge Management,15,16,146,SLee
147,S Lee; Chong-Sun Hwang ; JeHyok Ryu ; MoonBae Song,Considering Mobility Patterns in Moving Objects Database ,ICPP International Conference Parallel Processing,15,1,147,SLee
148,S Lee; Chong-Sun Hwang ; Soon Young Jung,A New Weaker Conflict Relation in Semantics-Based Concurrency Control ,OOIS Object Oriented Information Systems,15,2,148,SLee
149,S Lee; Chong-Sun Hwang ; Masaru Kitsuregawa,Efficient Processing of Wireless Read-only Transactions in Data Broadcast ,RIDE Research Issues Data Engineering,15,3,149,SLee
150,S Lee; Chong-Sun Hwang ; HeonChang Yu,Caching and Concurrency Control in Mobile Client/Server Database Systems ,CODAS The Second International Symposium Cooperative Database Systems for Advanced Applications,15,4,150,SLee
151,S Lee; Chong-Sun Hwang ; Soon Young Jung,Concurrency Control Using a New Weaker Conflict Relation ,DEXA Database and Expert Systems Applications Workshop,15,5,151,SLee
152,S Lee; Chong-Sun Hwang ; Masaru Kitsuregawa,Using Predeclaration for Efficient Read-only Transaction Processing in Wireless Data Broadcast ,ICDCS International Conference Distributed Computing Systems,15,6,152,SLee
153,S Lee; Chong-Sun Hwang ; Won-Gyu Lee,A unified approach to global concurrency control and global deadlocks in a multidatabase environment ,ICPADS International Conference Parallel and Distributed Systems,15,7,153,SLee
154,S Lee; Chong-Sun Hwang ; HeongChang Yu,Supporting Transactional Cache Consistency in Mobile Database Systems ,MobiDE,15,8,154,SLee
155,S Lee; Chong-Sun Hwang,Unified Protocols of Concurrency Control and Recovery in Distributed Object-based Databases ,Comput J,15,9,155,SLee
156,S Lee;D S Kim;S Y Lee;R M Kil, Auditory processing of speech signals for robust speech recognition in real-world noisy environments , IEEE Transactions Speech and Audio Processing P,16,10,156,SLee
157,S Lee;Doh-Suk Kim ; Hoon Kim ; Jae-Hoon Jeong,Speaker adaptation based on judge neural networks for real world implementations of Voice-Command systems ,Inf Sci,16,11,157,SLee
158,Su-In Lee,Top-Down Attention Control at Feature Space for Robust Pattern Recognition ,Biologically Motivated Computer Vision,16,12,158,SLee
159,S Lee;Michael Mozer,Robust Recognition of Noisy and Superimposed Patterns via Selective Attention ,NIPS Neural Information Processing Systems,16,13,159,SLee
160,S Lee;Cheol Hoon Park ; Jung-Wook Cho,On-line Handwritten Character Recognition by a Hybrid Method based on Neural Networks and Pattern Matching ,IWANN International Work Conference Artificial and Natural Neural Networks,16,14,160,SLee
161,S Lee;Ki-Young Park ; Marwan A Jabri ; Terrence J Sejnowski,Properties of Independent Components of Self-Motion Optical Flow ,ISMVL IEEE INTERNATIONAL SYMPOSIUM MULTIPLE VALUED LOGIC,16,15,161,SLee
162,S Lee;Ki-Young Park,Out-of-Vocabulary Rejection based on Selective Attention Model ,Neural Processing Letters,16,16,162,SLee
