"","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID"
"37","Y Kambayashi;K Takeda;S Yajima;K Tanaka","Design Problems of Unnormalized Relations Utilizing Semantic Constraints in Relational Databases in Japanese ,","Trans of IPSJ","1","1_24 Y Kambayashi;K Takeda;S Yajima;K Tanaka<","37"
"38","Y Kambayashi;K Tanaka","Logical Integration of Locally Independent Relational Databases into a Distributed Database,","Proc th Int Conf Very Large Data Bases Cannes","1","1_25 Y Kambayashi;K Tanaka<","38"
"39","Y Kambayashi;K Tanaka","Interference Problems between Relational Queries and Dependency Constraints in Japanese ,","Trans of IPSJ","1","1_26 Y Kambayashi;K Tanaka<","39"
"40","Y Kambayashi;S Yajima;K Tanaka","Problems of Relational Database Design, Lecture Notes in Computer Science ,","Springer Verlag","1","1_27 Y Kambayashi;S Yajima;K Tanaka<","40"
"41","K Tanaka;Hiroaki Oiso ; Keishi Tajima ; Masaki Kamiura","Spatial Views and LOD-Based Access Control in VRML-object Databases ","WWCA Worldwide Computing and Its Applications","1","1_60 K Tanaka;Hiroaki Oiso ; Keishi Tajima ; Masaki Kamiura<","41"
"42","Y Kambayashi;S Yajima;K Tanaka","Properties of Embedded Multivalued Dependencies in Relational Databases,","Trans of IECE E","1","1_28 Y Kambayashi;S Yajima;K Tanaka<","42"
"43","E Oomoto;K Tanaka","Continuous Objects: A Data Model for Multi-Media Databases in Japanese ,"," Proc of the JSSST Object Oriented Computing Workshop appeared Object Oriented Computing I Kindai Kagakusha","1","1_61 E Oomoto;K Tanaka<","43"
"44","Y Kambayashi;S Yajima;K Tanaka","Organization of Quasi-Consecutive Retrieval Files,","Information Systems Pergamon Press","1","1_29 Y Kambayashi;S Yajima;K Tanaka<","44"
"45","E Oomoto;K Tanaka","Design and Implementation of a Visual Query Language for Historical Databases,","Database Systems for Next generation Applications Advanced Database Research and Development Series World Scientific Publishing","1","1_62 E Oomoto;K Tanaka<","45"
"46","E Oomoto;K Tanaka","HistoryChart: A Visual Query language for Historical Databases,","Proc Int Symp Database Systems for Advanced Applications DASFAA Database Systems for Advanced Applications","1","1_63 E Oomoto;K Tanaka<","46"
"47","E Oomoto;K Tanaka","OVID: Design and Implementation of a Video-Object Database System,","IEEE Trans Knowledge and Data Engineering","1","1_64 E Oomoto;K Tanaka<","47"
"48","K Tanaka;Eitetsu Oomoto","Video Database Systems - Recent Trends in Research and Development Activities ","Handbook of Multimedia Information Management","1","1_65 K Tanaka;Eitetsu Oomoto<","48"
"49","E Oomoto;K Tanaka","Propagation-View: An Instance-based Inheritance Mechanism by Parial Order Relationships in Object-Oriented Databases, in Japanese ,","Trans of IPSJ","1","1_66 E Oomoto;K Tanaka<","49"
"50","S Pradhan;T Jozen;K Tanaka","Navigation of an Instance-based Object Database with Dynamic Inheritance Capability,","Proc Int Symp Advanced Database Technologies and Thier Integration ADTI Nara JapanCpp","1","1_67 S Pradhan;T Jozen;K Tanaka<","50"
"51","K Tanaka;Qing Qian","Two-Level Schemata and Generalized Links for Hypertext Database Models ","Future Databases","1","1_68 K Tanaka;Qing Qian<","51"
"52","Q Qiang;M Tanizaki;K Tanaka","Abstraction and Inheritance of HyperLinks in an Object-Oriented Hypertext Database System TextLink/Gem,","Proc Int Symp Advanced Database Technologies and Thier Integration ADTI Nara","1","1_69 Q Qiang;M Tanizaki;K Tanaka<","52"
"53","Y Kambayashi;S Yajima;K Tanaka","A Relational Data Language with Simplified Binary Relation Handling Capability,","Proc rd Int Conf Very Large Data Bases Tokyo","1","1_30 Y Kambayashi;S Yajima;K Tanaka<","53"
"54","Y Kambayashi;K Takeda;S Yajima;K Tanaka","Representation of Relations for Database Output Utilizing Data Dependencies,","Proc th Int Conf System Sciences U S A","1","1_31 Y Kambayashi;K Takeda;S Yajima;K Tanaka<","54"
"55","Y Kambayashi;S Yajima;K Tanaka","Use of Abstracted Characteristics of Data in Relational Databases,","Proc IEEE rd Int Computer Software and Applications Conf","1","1_32 Y Kambayashi;S Yajima;K Tanaka<","55"
"56","Y Kambayashi;S Yajima;K Tanaka","Semantic Aspects of Data Dependencies and Their Application to Relational Database Design,","Proc IEEE rd Int Computer Software and Applications Conf","1","1_33 Y Kambayashi;S Yajima;K Tanaka<","56"
"57","Y Kambayashi;K Takeda;K Tanaka","Synthesis of Unnormallized Relations Incorporating More Meaning,","Information Sciences Elsevier Science Pub Inc","1","1_34 Y Kambayashi;K Takeda;K Tanaka<","57"
"58","K Tanaka;Yahiko Kambayashi","Testing of Join Dependency Preserving by a Modified Chase Method ","MFCS Mathematical Foundations of Computer Science","1","1_35 K Tanaka;Yahiko Kambayashi<","58"
"59","K Tanaka;Hiroaki Kawagishi ; Kengo Koiso","Dynamic Zone Retrieval and Landmark Computation for Spatial Data ","Digital Cities","1","1_36 K Tanaka;Hiroaki Kawagishi ; Kengo Koiso<","59"
"60","K Tanaka;Hiroaki Kawagishi ; Kengo Koiso ; Takahiro Matsumoto","InfoLOD and LandMark: Browsing and Retrieving Spatial Data ","CODAS The Second International Symposium Cooperative Database Systems for Advanced Applications","1","1_37 K Tanaka;Hiroaki Kawagishi ; Kengo Koiso ; Takahiro Matsumoto<","60"
"61","K Tanaka;Ma Qiang ; Shinya Miyazaki","WebSCAN: Discovering and Notifying Important Changes of Web Sites ","DEXA Database and Expert Systems Applications","1","1_70 K Tanaka;Ma Qiang ; Shinya Miyazaki<","61"
"62","K Tanaka;Hiroaki Kawagishi ; Kengo Koiso ; Takahiro Matsumoto ; Takehisa Mori","InfoLOD and LandMark: Spatial Presentation of Attribute Information and Computing Representative Objects for Spatial Data ","Int J Cooperative Inf Syst","1","1_38 K Tanaka;Hiroaki Kawagishi ; Kengo Koiso ; Takahiro Matsumoto ; Takehisa Mori<","62"
"63","N Sanada;K Tanaka","Adding Methods to Relational Database Constructs,","Proc th Annual Int Computer Software and Applications Conf COMPSAC International Computer Software and Applications Conference IEEE Computer Society Press","1","1_71 N Sanada;K Tanaka<","63"
"64","S Kitamura;K Tanaka","Design and Implementation of an Oriental Medicine Expert System, in Japanese ,","Trans of the Institute of Systems Control and Information Engineers","1","1_39 S Kitamura;K Tanaka<","64"
"65","K Tanaka;Yoav Shoham","A Dynamic Theory of Incentives in Multi-Agent Systems ","IJCAI International Joint Conference Artificial Intelligence","1","1_72 K Tanaka;Yoav Shoham<","65"
"66","K Tanaka;","Advanced Applications and Future Research Issues of OODBs ","DASFAA Database Systems for Advanced Applications","1","1_1 K Tanaka;<","66"
"67","K Tanaka;Yuichi Sugiyama ; Yutaka Kidawara","A cost model and copyright management for D digital contents using multilevel complex objects ","Systems and Computers","1","1_73 K Tanaka;Yuichi Sugiyama ; Yutaka Kidawara<","67"
"68","K Tanaka;","Tree-Structured Data Organization with Consecutive Retrieval Property ","FODO Conference Foundations of Data Organization and Algorithms","1","1_2 K Tanaka;<","68"
"69","K Tanaka;Kazutoshi Sumiya ; Satoshi Oyama ; Shinsuke Nakajima","Context-Dependent Web Bookmarks and Their Usage as Queries ","WISE Web Information Systems Engineering","1","1_74 K Tanaka;Kazutoshi Sumiya ; Satoshi Oyama ; Shinsuke Nakajima<","69"
"70","K Tanaka;","Tea-Time Museum: Croquet As a Browsing and Searching Environment for Digital Libraries ","C","1","1_3 K Tanaka;<","70"
"71","K Tanaka;Kazutoshi Sumiya ; Reiko Noda","Hypermedia Broadcasting with Temporal Links ","DEXA Database and Expert Systems Applications","1","1_75 K Tanaka;Kazutoshi Sumiya ; Reiko Noda<","71"
"72"," ;K Tanaka","Tree-Structured Data Organization with Consecutive Retrieval Property, Data Base File Organization,","Academic Press Proc Conf Consecutive Retrieval Property","1","1_4  ;K Tanaka<","72"
"73","K Tanaka;Kazutoshi Sumiya ; Reiko Noda","A temporal link mechanism for hypermedia broadcasting ","Systems and Computers","1","1_76 K Tanaka;Kazutoshi Sumiya ; Reiko Noda<","73"
"74","S Ceri;K Tanaka;D tsur;","DOOD Deductive and Object-Oriented Databases,>Springer verlag
1_77 K Tanaka;Keishi Tajima ; Masatsugu Kitagawa ; Yoshiaki Mizuuchi>Cut as a Querying Unit for WWW, Netnews, e-mail >Hypertext
1_6 T -S Chang;K Tanaka>Alternative Objects in Object-Oriented Databases>Proc Int Symp Database Systems for Advanced Applications DASFAA Database Systems for Advanced Applications
1_78 K Tanaka;Keishi Tajima ; Sujeet Pradhan ; Takashi Sogo>Algebraic Retrieval of Fragmentarily Indexed Video >New Generation Comput
1_7 T -S Chang;K Tanaka>On Natural Joins in Object-Oriented Databases,>Proc st Int Conf Deductive and Object Oriented Databases DOOD Elsevier Science Publishers B V North
1_8 K Tanaka;Akihiro Doi ; Kazutoshi Sumiya ; Kuniaki Uehara ; Tomoaki Kawaguchi>ScoopCast: Dynamic Video Production and Delivery from Indexed Live Video Stream >ICSC International Computing Science Conferences
1_79 K Tanaka;Keishi Tajima ; Sujeet Pradhan>A Query Model for Retrieving Relevant Intervals within a Video Stream >ICMCS International Conference Multimedia Computing and Systems
1_9 S Ghosh;Y Kambayashi;K Tanaka;>FOUNDATIONS OF DATA ORGANIZATION,>Plenum Press
1_40 S Kitamura;S Tsuji;K Tanaka>Visibility and Controllability in an Oriental Medicine Expert System,>Proc of the th IEEE Annual Int Computer Software Applications Conf
1_41 K Tanaka;Hidenari Kiyomitsu>Navigation-Dependent Web-Views: Defining and Controlling Semantic Unit of Web Pages >ICSC International Computing Science Conferences
1_42 S Kobayashi;T Sakanoue;K Tanaka>Uncertainty Management in Object-Oriented Database Systems,>Proc Int Conf Database and Expert Systems Applications DEXA Springer Verlag
1_43 K Tanaka;Kengo Koiso ; Kenji Kawakatsu ; Takehisa Mori>Dynamic Generation of Virtual Spaces and Incremental Query Formulation Using Spatial Browsing >DEXA Database and Expert Systems Applications Workshop
1_44 K Tanaka;Kengo Koiso ; Takahiro Matsumoto>Spatial Presentation and Aggregation of Georeferenced Data >DASFAA Database Systems for Advanced Applications
1_45 K Tanaka;Hiroyuki Kondo ; Takeshi Matsukura ; Yoichi Hirata>Discovery of Semantic Relationships among Web Pages Based on Web Topic Structures >DS Discovery Science
1_46 K Tanaka;Chiyako Matsumoto ; Ma Qiang>A Localness-Filter for Searched Web Pages >APWeb
1_47 K Tanaka;Chiyako Matsumoto ; Ma Qiang>Web Information Retrieval Based on the Localness Degree >DEXA Database and Expert Systems Applications
1_80 K Tanaka;Keishi Tajima ; Sujeet Pradhan>A Query Model to Synthesize Answer Intervals from Indexed Video Units >IEEE Trans Knowl Data Eng
1_48 K Tanaka;Akiyo Nadamoto ; Hiroyuki Kondo ; Kazutoshi Sumiya ; Machiko Kusahara ; Taeko Hattori>Back to the TV: Information Visualization Interfaces based on TV-Program Metaphors >IEEE International Conference Multimedia and Expo III
1_81 K Tanaka;Keishi Tajima ; Sujeet Pradhan ; Takashi Sogo>A New Algebraic Approach to Retrieve Meaningful Video Intervals from Fragmentarily Indexed Video Shots >VDB Visual Database Systems
1_49 K Tanaka;Akiyo Nadamoto>A comparative web browser CWB for browsing and comparing web pages >WWW World Wide Web Conference Series
1_82 K Tanaka;Keishi Tajima>New Techniques for the Discovery of Logical Documents in Web >DANTE Delivery of Advanced Network Technology to Europe
1_83 K Tanaka;Keishi Tajima ; Sujeet Pradhan>Utilizing Prototype Objects and Powerdomains to Support Public Authoring of Video Databases >CODAS The Second International Symposium Cooperative Database Systems for Advanced Applications
1_84 K Tanaka;Atsunori Takeuchi ; Hidenari Kiyomitsu>Web Reconfiguration by Spatio-Temporal Page Personalization Rules Based on Access >SAINT Symposium Applications and the Internet
1_85 K Tanaka;S Nishio;Kindai-Kagakusha;>Object-Oriented Computing I in japanese ,>
1_86 K Tanaka>Fundamental Concepts of Object-Oriented Databases in Japanese ,>Information Processing IPSJ
1_87 K Tanaka>A Historical Database Model Based on Tuple Sequences and Its Integrity Constraints in Japanese ,>Information Processing of IPSJ Selected the IPSJ th Anniversary Paper
1_88 K Tanaka>Integration of Hypermedia and Object-Oriented Database Technologies, in Japanese ,>Proc Int Symp Computer World
1_89 K Tanaka>Storing and Manipulating Multimedia Database Objects by PostScript and Relational Databases,>Proc Int Symp Interoperable Information Systems INTAP Tokyo
1_10 S Ginsburg;K Tanaka>Computation-tuple Sequences and Object Histories,>ACM Trans Database Systems
1_11 S Ginsburg;K Tanaka>Computation-tuple Sequences and Object Histories: Extended Abstract,>Proc Int Conf Foundations of Data Organization Kyoto Plenum Press
1_12 K Tanaka;Seymour Ginsburg>Interval Queries on Object Histories >Theor Comput Sci
1_100 K Tanaka;Shuzo Yajima ; Yahiko Kambayashi>A Relational Data Language with Simplified Binary Relation Handling Capability >VLDB Very Large Data Bases
1_13 S Ginsburg;K Tanaka>Interval Queries on Object Histories: Extended Abstract,>Proc th Int Conf Very Large Data Bases
1_101 K Tanaka;Kazuya Yoda ; Keishi Tajima>Access control and authorization for CG data with multiple detail levels >Systems and Computers
1_14 K Tanaka;Hans-J&ouml;rg Schek ; M Tamer &Ouml;zsu ; Yanchun Zhang>Special Issue on The nd Web Information Systems Engineering Conference WISE ","World Wide Web","1","1_5 S Ceri;K Tanaka;D tsur;<","74"
"75","K Tanaka;Masatoshi Yoshikawa ; Richard Hull","Behavior Analysis of Object-Oriented Databases: Method Structure, Execution Trees, and Reachability Extended Abstract ","FODO Conference Foundations of Data Organization and Algorithms","1","1_102 K Tanaka;Masatoshi Yoshikawa ; Richard Hull<","75"
"76","K Tanaka;Craig Harris ; Earl D Saberdoti ; Fran&ccedil;ois Bancilhon ; Michael Kifer ; Michael L Brodie ; Yoshifumi Masunaga","Next Generation Database Management Systems Technology Panel ","DOOD Deductive and Object Oriented Databases","1","1_15 K Tanaka;Craig Harris ; Earl D Saberdoti ; Fran&ccedil;ois Bancilhon ; Michael Kifer ; Michael L Brodie ; Yoshifumi Masunaga<","76"
"77","K Tanaka; Makoto Takizawa ; Naokazu Nemoto","Quality-based synchronization methods of multimedia objects ","Inf Sci","2","2_30 K Tanaka; Makoto Takizawa ; Naokazu Nemoto<","77"
"78","K Tanaka; Keiji Izaki ; Makoto Takizawa","Information Flow Control among Objects in Role-Based Access Control Model ","DEXA Database and Expert Systems Applications","2","2_31 K Tanaka; Keiji Izaki ; Makoto Takizawa<","78"
"79","K Tanaka; Hiroaki Higaki ; Makoto Takizawa","Object-Based Ordered Delivery of Messages in Object-Based Systems ","DEXA Database and Expert Systems Applications","2","2_32 K Tanaka; Hiroaki Higaki ; Makoto Takizawa<","79"
"80","K Tanaka; Makoto Takizawa","Protocol for Taking Object-Based Checkpoints ","DEXA Database and Expert Systems Applications","2","2_33 K Tanaka; Makoto Takizawa<","80"
"81","K Tanaka; Makoto Takizawa","Quorum-Based Locking Protocol in Nested Invocations of Methods ","DEXA Database and Expert Systems Applications","2","2_34 K Tanaka; Makoto Takizawa<","81"
"82","K Tanaka; Makoto Takizawa ; Naokazu Nemoto","Quality-Based Synchronization Methods of Multimedia Objects ","DEXA Database and Expert Systems Applications","2","2_35 K Tanaka; Makoto Takizawa ; Naokazu Nemoto<","82"
"83","K Tanaka; Hiroaki Higaki ; Makoto Takizawa","Significant Checkpoint in Distributed System ","DEXA Database and Expert Systems Applications","2","2_36 K Tanaka; Hiroaki Higaki ; Makoto Takizawa<","83"
"84","K Tanaka; Mamoru Mitsuishi ; Takaaki Nagao ; Yasuyoshi Yokokohji","Remote Rapid Manufacturing with Action Media as an Advanced User Interface ","ICRA International Conference Robotics and Automation","2","2_37 K Tanaka; Mamoru Mitsuishi ; Takaaki Nagao ; Yasuyoshi Yokokohji<","84"
"85","K Tanaka; Keiji Izaki ; Makoto Takizawa","Access Control Model in Object-Oriented Systems ","DBSec","2","2_1 K Tanaka; Keiji Izaki ; Makoto Takizawa<","85"
"86","K Tanaka; Makoto Takizawa","Quorum-Based Replication of Objects ","DEXA Database and Expert Systems Applications Workshop","2","2_2 K Tanaka; Makoto Takizawa<","86"
"87","K Tanaka; Hiroaki Higaki ; Makoto Takizawa","Protocol for Pseudo-Active Replication in Wide-Area Networks ","DEXA Database and Expert Systems Applications Workshop","2","2_3 K Tanaka; Hiroaki Higaki ; Makoto Takizawa<","87"
"88","K Tanaka; Makoto Takizawa ; Motokazu Yokoyama","QoS-Based Method for Compensating Multimedia Objects ","DEXA Database and Expert Systems Applications Workshop","2","2_4 K Tanaka; Makoto Takizawa ; Motokazu Yokoyama<","88"
"89","K Tanaka; Keiji Izaki ; Makoto Takizawa","Authorization Model Based on Object-Oriented Concept ","ICOIN International Conference Information Networking","2","2_5 K Tanaka; Keiji Izaki ; Makoto Takizawa<","89"
"90","K Tanaka; Makoto Takizawa","Replica Management in Object-Based Systems ","ICOIN International Conference Information Networking","2","2_6 K Tanaka; Makoto Takizawa<","90"
"91","K Tanaka; Keijirou Arai ; Makoto Takizawa","Group Protocol for Delivering Requests to Replicas ","ICOIN International Conference Information Networking","2","2_7 K Tanaka; Keijirou Arai ; Makoto Takizawa<","91"
"92","K Tanaka; Kenichi Shimamura ; Makoto Takizawa","Object-Causally Ordered Group Protocol for Distributed Multimedia Systems ","ICOIN International Conference Information Networking","2","2_8 K Tanaka; Kenichi Shimamura ; Makoto Takizawa<","92"
"93","K Tanaka; Makoto Takizawa ; Youhei Timura","Causality of Messages in Object-Based Systems ","ICOIN International Conference Information Networking","2","2_9 K Tanaka; Makoto Takizawa ; Youhei Timura<","93"
"94","K Tanaka; Hiroaki Higaki ; Makoto Takizawa","Protocol for Pseudo-Active Replication in Wide-Area Network ","ICPP International Conference Parallel Processing Workshops","2","2_10 K Tanaka; Hiroaki Higaki ; Makoto Takizawa<","94"
"95","K Tanaka; Hiroaki Higaki ; Makoto Takizawa","Checkpoints in Distributed Object-Based Systems ","ICPP International Conference Parallel Processing Workshops","2","2_11 K Tanaka; Hiroaki Higaki ; Makoto Takizawa<","95"
"96","K Tanaka; Hiroaki Higaki ; Makoto Takizawa","Quorum-Based Protocol for Group Communication ","ICPP International Conference Parallel Processing Workshops","2","2_12 K Tanaka; Hiroaki Higaki ; Makoto Takizawa<","96"
"97","K Tanaka; Hiroaki Higaki ; Makoto Takizawa ; Michiaki Katsumoto","Quality-Based Lock Modes of Multimedia Objects ","ICPP International Conference Parallel Processing Workshops","2","2_13 K Tanaka; Hiroaki Higaki ; Makoto Takizawa ; Michiaki Katsumoto<","97"
"98","K Tanaka; Makoto Takizawa","Quorum-Based Locking Protocol for Replicas in Object-Based Systems ","ISADS International Symposium Autonomous Decentralized Systems","2","2_14 K Tanaka; Makoto Takizawa<","98"
