"","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID"
"13","M Brown ; G Sutcliffe ","System Description: PTTP+GLiDeS - Semantically Guided PTTP ","Technical Report School of Information Technology James Cook University","12","12_5 M Brown ; G Sutcliffe <","13"
"14","M Brown ","Selecting Semantics for Use with Semantic Pruning of Linear Deductions,","McKay Bob and Slaney J editor AI Artificial Intelligence Advances Artifical Intelligence th Australian Joint Intelligence Canberra Proceedings number LNAI Springer Verlag Heidelberg","12","12_6 M Brown <","14"
"15","M Brown;Geoff Sutcliffe","PTTP+GLiDeS: Guiding Linear Deductions with Semantics ","Australian Joint Conference Artificial Intelligence","12","12_7 M Brown;Geoff Sutcliffe<","15"
"16","M Brown;Geoff Sutcliffe","System Description: PTTP+GLiDes: Semantically Guided PTTP ","CADE Conference Automated Deduction","12","12_8 M Brown;Geoff Sutcliffe<","16"
"17","M Brown; Saurav Chatterjee","Adaptive QoS Resource Management in Dynamic Environments ","ICMCS International Conference Multimedia Computing and Systems","13","13_1 M Brown; Saurav Chatterjee<","17"
"18","M Brown; Bikash Sabata ; Saurav Chatterjee","Adaptive QoS Support for Distributed, Java-Based Applications ","ISORC IEEE International symposium Object Oriented Real Time Distributed Computing","13","13_2 M Brown; Bikash Sabata ; Saurav Chatterjee<","18"
"19","M Brown; Madhu Sudan ; Nachum Shacham","Conducting a Multiparty Multimedia Session over ATM using Hierarchically Encoded Data ","ICC International Conference Communications","13","13_3 M Brown; Madhu Sudan ; Nachum Shacham<","19"
"20","M Brown; William E Weihl","Zippers: A Focus+Context Display of Web Pages ","WebNet","1","1_24 M Brown; William E Weihl<","20"
"21","M Brown; Marc Najork","Collaborative Active Textbooks ","J Vis Lang Comput","1","1_16 M Brown; Marc Najork<","21"
"22","M Brown; Robert Sedgewick","Techniques for Algorithm Animation ","IEEE Software","1","1_25 M Brown; Robert Sedgewick<","22"
"23","M Brown; Marc Najork","Obliq- D: A High-Level, Fast-Turnaround D Animation System ","IEEE Transactions Visualization and Computer Graphics","1","1_17 M Brown; Marc Najork<","23"
"24","M Brown; John Hershberger","Color and Sound in Algorithmic Animation ","IEEE Computer","1","1_18 M Brown; John Hershberger<","24"
"25","M Brown; ","Exploring Algorithms Using Balsa-II ","IEEE Computer","1","1_19 M Brown; <","25"
"26","M Brown; John Hershberger","Color and Sound in Algorithm Animation ","VL Visual Languages","1","1_1 M Brown; John Hershberger<","26"
"27","M Brown; Marc Najork","Collaborative Active Textbooks: A Web-Based Algorithm Animation System for an Electronic Classroom ","VL Visual Languages","1","1_2 M Brown; Marc Najork<","27"
"28","M Brown; ","Zeus: A System for Algorithm Animation and Multi-View Editing ","VL Visual Languages","1","1_3 M Brown; <","28"
"29","M Brown; ","The SRC Algorithm Animation Festival ","VL Visual Languages","1","1_4 M Brown; <","29"
"30","M Brown; Marc Najork ; Roope Raisamo","A Java-Based Implementation of Collaborative Active Textbooks ","VL Visual Languages","1","1_5 M Brown; Marc Najork ; Roope Raisamo<","30"
"31","M Brown; Marc Najork","Algorithm Animation Using D Interactive Graphics ","ACM Symposium User Interface Software and Technology","1","1_6 M Brown; Marc Najork<","31"
"32","M Brown; ","Browsing the Web with a Mail/News Reader ","ACM Symposium User Interface Software and Technology","1","1_7 M Brown; <","32"
"33","M Brown; Krishna Bharat","Building Distributed, Multi-User Applications by Direct Manipulation ","ACM Symposium User Interface Software and Technology","1","1_8 M Brown; Krishna Bharat<","33"
"34","M Brown; Marc Najork","Distributed Applets ","CHI Conference Human Factors Computing Systems Extended Abstracts","1","1_9 M Brown; Marc Najork<","34"
"35","M Brown; Robert A Shillner","A new paradigm for browsing the web ","CHI Conference Human Factors Computing Systems Conference Companion","1","1_10 M Brown; Robert A Shillner<","35"
"36","M Brown; Marc Najork","A Library for Visualizing Combinatorial Structures ","IEEE Visualization","1","1_11 M Brown; Marc Najork<","36"
"37","M Brown; ","An Introduction to Zeus: Audiovisualization of Some Elementary Sequential and Parallel Sorting Algorithms ","CHI Conference Human Factors Computing Systems","1","1_20 M Brown; <","37"
"38","M Brown; ","WebCard = Email + News + WWW ","CHI Conference Human Factors Computing Systems Extended Abstracts","1","1_12 M Brown; <","38"
"39","M Brown; Manojit Sarkar","Graphical Fisheye Views of Graphs ","CHI Conference Human Factors Computing Systems","1","1_21 M Brown; Manojit Sarkar<","39"
"40","M Brown; Krishna Bharat","Building a distributed application using visual Obliq ","CHI Conference Human Factors Computing Systems Conference Companion","1","1_13 M Brown; Krishna Bharat<","40"
"41","M Brown; Manojit Sarkar","Graphical Fisheye Views ","Commun ACM","1","1_22 M Brown; Manojit Sarkar<","41"
"42","M Brown; Marc Najork","Distributed Active Objects ","Computer Networks","1","1_14 M Brown; Marc Najork<","42"
"43","M Brown; ","Experiences Using Algorithm Animations for Teaching and Research ","ICCAL International Conference Computers and Learning","1","1_23 M Brown; <","43"
"44","M Brown; Robert A Shillner","DeckScape: An Experimental Web Browser ","Computer Networks and ISDN Systems","1","1_15 M Brown; Robert A Shillner<","44"
"45","M Brown;M S Brown;W Seales","Fast Stereo Matching using Compressed Video,","Asian Conference Computer Vision ACCV Asian Conference Computer Vision Hong Kong","2","2_12 M Brown;M S Brown;W Seales<","45"
"46","M Brown;M S Brown;W Wong","Laser Pointer Interaction For Camera-Registered Multi-Projector Displays,","IEEE International Conference Image Processing","2","2_13 M Brown;M S Brown;W Wong<","46"
"47","M Brown;W B Seales;C J Yuan;M S Brown","Efficient Content Extraction In Compressed Images,","IEEE Workshop Content Based Access of Image and Video Libraries Part of Computer Vision and Pattern Recognition CVPR Computer Vision and Pattern RecognitioN San Juan Puerto Rico","2","2_30 M Brown;W B Seales;C J Yuan;M S Brown<","47"
"48","M Brown;M S Brown;W B Seales","Image Restoration of Arbitrarily Warped Documents"," IEEE Transactions PAMI under review","2","2_14 M Brown;M S Brown;W B Seales<","48"
"49","M Brown;W Brent Seales","Fast Stereo Matching in Compressed Video ","ACCV Asian Conference Computer Vision","2","2_31 M Brown;W Brent Seales<","49"
"50","M Brown;M S Brown;W B Seales","Incorporating Geometric Registration with PC-Cluster Rendering for Flexible Tiled Displays"," International Journal of Image and Graphics","2","2_15 M Brown;M S Brown;W B Seales<","50"
"51","M Brown;W Brent Seales","A Practical and Flexible Tiled Display System ","Pacific Conference Computer Graphics and Applications","2","2_32 M Brown;W Brent Seales<","51"
"52","M Brown;M S Brown;D Tsoi","Undistorting Imaged Print Materials Using Boundary Information"," Asian Conference Computer Vision under review","2","2_16 M Brown;M S Brown;D Tsoi<","52"
"53","M Brown;W Brent Seales","The digital atheneum: new approaches for preserving, restoring and analyzing damaged manuscripts ","JCDL ACM IEEE Joint Conference Digital Libraries","2","2_33 M Brown;W Brent Seales<","53"
"54","M Brown;M S Brown;W B Seales","A Practical and Flexible Tiled Display System,","IEEE Pacific Graphics","2","2_17 M Brown;M S Brown;W B Seales<","54"
"55","M Brown;Desmond Tsoi","Correcting Common Distortions in Camera-Imaged Library Materials ","JCDL ACM IEEE Joint Conference Digital Libraries","2","2_34 M Brown;Desmond Tsoi<","55"
"56","M Brown;E Elsayed;M S Brown","Cooperative Stereo: Combining Edge-Based and Area-Based Stereo,","IEEE Aerospace Conference Snow Mass","2","2_18 M Brown;E Elsayed;M S Brown<","56"
"57","M Brown;Y -C Tsoi;M S Brown","Video Cosmetics: Computer-aided removal of blemishes from Video"," IEEE Transactions Image Processing under review","2","2_35 M Brown;Y -C Tsoi;M S Brown<","57"
"58","M Brown;Henry Fuchs ; Ruigang Yang ; W Brent Seales","Geometrically correct imagery for teleconferencing ","ACM Multimedia","2","2_19 M Brown;Henry Fuchs ; Ruigang Yang ; W Brent Seales<","58"
"59","M Brown;D Tsoi;M S Brown","Removal of Dynamic Blemishes from Video,","Asian Conference Computer Vision","2","2_36 M Brown;D Tsoi;M S Brown<","59"
"60","M Brown;Greg Welch ; Henry Fuchs ; Herman Towles ; Ramesh Raskar ; Ruigang Yang ; W Brent Seales ; Wei-Chao Chen","Multi-Projector Displays Using Camera-Based Registration ","IEEE Visualization","2","2_37 M Brown;Greg Welch ; Henry Fuchs ; Herman Towles ; Ramesh Raskar ; Ruigang Yang ; W Brent Seales ; Wei-Chao Chen<","60"
"61","M Brown;Greg Welch ; Henry Fuchs ; Herman Towles ; Ramesh Raskar","Projected Imagery in Your Office of the Future ","IEEE Computer Graphics and Applications","2","2_38 M Brown;Greg Welch ; Henry Fuchs ; Herman Towles ; Ramesh Raskar<","61"
"62","M Brown;G Welch;H Fuchs;R Raskar;M S Brown;H Towles","Projected Imagery In Your Office in the Future,","IEEE Computer Graphics and Applications","2","2_39 M Brown;G Welch;H Fuchs;R Raskar;M S Brown;H Towles<","62"
"63","M Brown;David Gotz ; Herman Towles ; Justin Hensley ; Ruigang Yang","PixelFlex: A Reconfigurable Multi-Projector Display System ","IEEE Visualization","2","2_20 M Brown;David Gotz ; Herman Towles ; Justin Hensley ; Ruigang Yang<","63"
"64","M Brown;Christopher O Jaynes ; Stephen B Webb ; W Brent Seales","Building large-format displays for digital libraries ","Commun ACM","2","2_21 M Brown;Christopher O Jaynes ; Stephen B Webb ; W Brent Seales<","64"
"65","M Brown;C O Jaynes;S B Webb;W B Seales;M S Brown;R W Steel","Dynamic Shadow Removal from Front Projection Display,","IEEE Visualization","2","2_22 M Brown;C O Jaynes;S B Webb;W B Seales;M S Brown;R W Steel<","65"
"66","M Brown;Christopher O Jaynes ; R Matt Steele ; Stephen B Webb ; W Brent Seale","Dynamic Shadow Removal from Front Projection Displays ","IEEE Visualization","2","2_23 M Brown;Christopher O Jaynes ; R Matt Steele ; Stephen B Webb ; W Brent Seale<","66"
"67","M Brown;R Yang;M S Brown;W B Seales;H Fuchs","Geometrically Correct Imagery for Teleconferencing,","ACM Multimedia st","2","2_40 M Brown;R Yang;M S Brown;W B Seales;H Fuchs<","67"
"68","M Brown;S Michael","Building Large Format Displays"," EUROGRAPHICS Organizer Aditi Majumder UC","2","2_24 M Brown;S Michael<","68"
"69","M Brown;R Yang;M S Brown","PixelFlex: A Reconfigurable, Multi-projector Display System,","IEEE Visualization","2","2_41 M Brown;R Yang;M S Brown<","69"
"70","M Brown;S Michael","Digital Libraries"," Multimedia Information Retrieval and Management","2","2_25 M Brown;S Michael<","70"
"71","M Brown;S Michael","Large-Scale Displays for the Masses: Recent Techniques for Building Affordable and Flexible Tiled Displays"," SIGGRAPH Special Interest Group Computer Graphs Organizer Aditi Majumder UC","2","2_26 M Brown;S Michael<","71"
"72","M Brown;R Raskar;M S Brown","Seamless Camera-Registered Multi-Projector Display over Irregular Surfaces,","IEEE Visualization San Francisco","2","2_27 M Brown;R Raskar;M S Brown<","72"
"73","M Brown;W Brent Seales","Beyond D images: effective D imaging for library materials ","ACM DL Digital Libraries","2","2_28 M Brown;W Brent Seales<","73"
"74","M Brown;W Brent Seales","Document Restoration Using D Shape: A General Deskewing Algorithm for Arbitrarily Warped Documents ","ICCV International Conference Computer Vision","2","2_29 M Brown;W Brent Seales<","74"
"75","M Brown;M S Brown","Building Large Format Displays for Digital Libraries,","Communications of the ACM Special Issue Digital Libraries","2","2_1 M Brown;M S Brown<","75"
"76","M Brown;M S Brown;W B Seales","Beyond D Images: Effective D Imaging for Library Materials,"," th ACM Conference Digital Libraries","2","2_2 M Brown;M S Brown;W B Seales<","76"
"77","M Brown;M S Brown;R D Yang","Computer-Assisted Visualization and Analysis of Scholarly Manuscripts,","IS T Visualization and Data Analysis VDA","2","2_3 M Brown;M S Brown;R D Yang<","77"
"78","M Brown;M S Brown;D Tsoi","Correcting Common Distortions in Camera-Imaged Library Materials,","IEEE and ACM JCDL ACM IEEE Joint Conference Digital Libraries","2","2_4 M Brown;M S Brown;D Tsoi<","78"
"79","M Brown;M S Brown;Y -C Tsoi","Correcting Distortions in Imaged Print Materials using Boundary Interpolation"," International Journal of Image and Graphics","2","2_5 M Brown;M S Brown;Y -C Tsoi<","79"
"80","M Brown;M S Brown;W B Seales;K Kiernan;J Griffioen"," D Acquisition and Restoration of Medieval Manuscripts,","Communications of the ACM Special Issue Digital Libraries","2","2_6 M Brown;M S Brown;W B Seales;K Kiernan;J Griffioen<","80"
"81","M Brown;M S Brown;W B Seales","Document Restoration using D Shape,","International Conference Computer Vision","2","2_7 M Brown;M S Brown;W B Seales<","81"
"82","M Brown;M S Brown;W B Seales","Digital Atheneum: New Approaches for Preserving, Restoring, and Analyzing Damaged Manuscripts,","IEEE and ACM Joint Conference Digital Libraries Nominated for Best Paper Award","2","2_8 M Brown;M S Brown;W B Seales<","82"
"83","M Brown;M S Brown;W B Seales","Digital Atheneum: Techniques for Acquiring and Restoring Damaged Scholarly Manuscripts"," International Journal of Digital Libraries under review","2","2_9 M Brown;M S Brown;W B Seales<","83"
"84","M Brown;M S Brown;W B Seales"," D Imaging of Humanities Texts,","Association of Computing and the Humanities Conference","2","2_10 M Brown;M S Brown;W B Seales<","84"
"85","M Brown;M S Brown;R D Yang","Fast Half-toning of MPEG Video for Bi-Tonal Displays,","IEEE International Conference Image Processing","2","2_11 M Brown;M S Brown;R D Yang<","85"
"86","M Brown;Ian Watson ; Nick Filer","Separating the Cases from the Data: Towards More Flexible Case-Based Reasoning ","ICCBR Case Based Reasoning and Development","3","3_10 M Brown;Ian Watson ; Nick Filer<","86"
"87","M Brown;Dieter Wissmann ; Luo Xiao ; Stefan Jablonski","Hierarchical Concept Description and Learning for Information Extraction ","NLPRS Natural Language Processing Pacific Rim Symposium","3","3_11 M Brown;Dieter Wissmann ; Luo Xiao ; Stefan Jablonski<","87"
"88","M Brown;Dieter Wissmann ; Luo Xiao ; Stefan Jablonski","Information Extraction from HTML: Combining XML and Standard Techniques for IE from the Web ","IEA Industrial and Engineering Applications AIE Artificial Intelligence and Expert Systems","3","3_12 M Brown;Dieter Wissmann ; Luo Xiao ; Stefan Jablonski<","88"
"89","M Brown;Dieter Wissmann ; Luo Xiao ; Stefan Jablonski","Where to Position the Precision in Knowledge Extraction from Text ","IEA Industrial and Engineering Applications AIE Artificial Intelligence and Expert Systems","3","3_13 M Brown;Dieter Wissmann ; Luo Xiao ; Stefan Jablonski<","89"
"90","M Brown;","A Memory Model for Case Retrieval by Activation:","PhD thesis","3","3_1 M Brown;<","90"
"91","M Brown;","Incorporating Similarity Measures into Case Retrieval Using Analogue Marker Passing ","ECAI European Conference Artificial Intelligence","3","3_2 M Brown;<","91"
"92","M Brown;","An Underlying Memory Model to Support Case Retrieval ","EWCBR","3","3_3 M Brown;<","92"
"93","M Brown; N Filer","Case Retrieval Must Use Massive Parallelism?:","Proc of Expert Systems UK RESEARCH AND DEVELOPMENT EXPERT SYSTEMS XI","3","3_4 M Brown; N Filer<","93"
"94","M Brown; Z Moosa; N Filer","A Knowledge Based Support for Use of Complex CAD Tools:","Proc of Expert Systems UK APPLICATIONS AND INNOVATIONS EXPERT SYSTEMS II","3","3_5 M Brown; Z Moosa; N Filer<","94"
"95","M Brown;Gloria Dabiri ; Maria Aretoulaki ; Matthias Nitzsche","A User-Sensitive Spoken Dialogue System Incorporating Emotional Responsiveness ","SETN Hellenic Conference Artificial Intelligence","3","3_6 M Brown;Gloria Dabiri ; Maria Aretoulaki ; Matthias Nitzsche<","95"
"96","M Brown;Nick Filer","Beauty vs the Beast: The Case Against Massively Parallel Retrieval ","UK Workshop Case Based Reasoning","3","3_7 M Brown;Nick Filer<","96"
"97","N Filer; Z Moosa; M Brown","Integrating CAD Tools into a Framework Environment Using a Flexible and Adaptable Procedural Interface:","Proc IEEE EuroDAC Conference Grenoble","3","3_8 N Filer; Z Moosa; M Brown<","97"
"98","M Brown;Alan Flett ; Borys Omelayenko ; Dieter Fensel ; Ellen Schulten ; Guy Botquin ; Ying Ding","Product Data Integration in B B E-Commerce ","IEEE Intelligent Systems","3","3_9 M Brown;Alan Flett ; Borys Omelayenko ; Dieter Fensel ; Ellen Schulten ; Guy Botquin ; Ying Ding<","98"
"99","M Brown; Robert Endre Tarjan","A Representation for Linear Lists with Movable Fingers","STOC ACM Symposium Theory of Computing","4","4_1 M Brown; Robert Endre Tarjan<","99"
"100","M Brown; ","The Complexity of Priority Queue Maintenance","STOC ACM Symposium Theory of Computing","4","4_2 M Brown; <","100"
"101","M Brown; Robert Endre Tarjan","A Fast Merging Algorithm ","J ACM","4","4_3 M Brown; Robert Endre Tarjan<","101"
"102","M Brown; Robert Endre Tarjan","Design and Analysis of a Data Structure for Representing Sorted Lists ","SIAM Society for Industrial and Applied Mathematics J Comput","4","4_4 M Brown; Robert Endre Tarjan<","102"
"103","M Brown; ","Implementation and Analysis of Binomial Queue Algorithms ","SIAM Society for Industrial and Applied Mathematics J Comput","4","4_5 M Brown; <","103"
"104","M Brown; ","A Partial Analysis of Random Height-Balanced Trees ","SIAM Society for Industrial and Applied Mathematics J Comput","4","4_6 M Brown; <","104"
"105","M Brown; ","A Storage Scheme for Height-Balanced Trees ","Inf Process Lett","4","4_7 M Brown; <","105"
"106","M Brown; ","Some Observations on Random - Trees ","Inf Process Lett","4","4_8 M Brown; <","106"
"107","M Brown;G&uuml;rsel Serpen ; Jason Bechtel","Passphrase Authentication Based on Typing Style Through an Art Neural Network ","International Journal of Computational Intelligence and Applications","5","5_10 M Brown;G&uuml;rsel Serpen ; Jason Bechtel<","107"
"108","M Brown;Samuel Joe Rogers","User Identification via Keystroke Characteristics of Typed Names using Neural Networks ","International Journal of Man Machine Studies","5","5_11 M Brown;Samuel Joe Rogers<","108"
"109","M Brown;D P Yeager;M E Brown;D A Stanley","An Object-Oriented Software Library for Minerals Beneficiation and Separation Processes ","Fluid Particle Separation Journal","5","5_12 M Brown;D P Yeager;M E Brown;D A Stanley<","109"
"110","G Bishop;W Bricken;F P Brooks;M Brown","Research in Virtual Environments: Report of an NSF Workshop,","Computer Graphics","5","5_1 G Bishop;W Bricken;F P Brooks;M Brown<","110"
"111","M Brown;B Czejdo","A Hypertext for Literate Programming,","Chapter Lecture Notes Computer Science Advances Computing and Information ICCI International Conference Computing and Information S G Akl F Fiala and W W Koczkodaj eds Springer Verlag New","5","5_2 M Brown;B Czejdo<","111"
"112","M Brown;D Cordes","Literate Programming Applied to Conventional Software Design,","Structured Programming","5","5_3 M Brown;D Cordes<","112"
"113","M Brown;S B Childs","An Interactive Environment for Literate Programming,","Structured Progamming","5","5_4 M Brown;S B Childs<","113"
"114","M Brown;S Rogers","User identification via keystroke characteristics of typed names using neural networks,","International Journal of Man Machine Studies","5","5_5 M Brown;S Rogers<","114"
"115","M Brown;Bart Childs","An Interactive Environment for Literate Programming ","Structured Programming","5","5_6 M Brown;Bart Childs<","115"
"116","M Brown;David Cordes","Literate Programming Applied to Conventional Software Design ","Structured Programming","5","5_7 M Brown;David Cordes<","116"
"117","M Brown;David Cordes","The Literate-Programming Paradigm ","IEEE Computer","5","5_8 M Brown;David Cordes<","117"
"118","M Brown;Bogdan D Czejdo","A Hypertext for Literate Programming ","ICCI International Conference Computing and Information","5","5_9 M Brown;Bogdan D Czejdo<","118"
"119","M Brown;Christophe G Giraud-Carrier ; Rafal Bogacz","A Familiarity Discrimination Algorithm Inspired by Computations of the Perirhinal Cortex ","Emergent Neural Computational Architectures Based Neuroscience","6","6_10 M Brown;Christophe G Giraud-Carrier ; Rafal Bogacz<","119"
"120","M Brown;Christophe G Giraud-Carrier ; Rafal Bogacz","Model of co-operation between recency, familiarity and novelty neurons in the perirhinal cortex ","Neurocomputing","6","6_11 M Brown;Christophe G Giraud-Carrier ; Rafal Bogacz<","120"
"121","M Brown;Christophe G Giraud-Carrier ; Rafal Bogacz","Model of Familiarity Discrimination in the Perirhinal Cortex ","Journal of Computational Neuroscience","6","6_12 M Brown;Christophe G Giraud-Carrier ; Rafal Bogacz<","121"
"122","M Brown;Christophe G Giraud-Carrier ; Rafal Bogacz","Emergence of Movement Sensitive Neurons Properties by Learning a Sparse Code for Natural Moving Images >NIPS Neural Information Processing Systems
6_14 M Brown;G Horn;A U Nicol;M W Brown>Tracking memorys trace","Proceedings of the National Academy of Sciences","6","6_13 M Brown;Christophe G Giraud-Carrier ; Rafal Bogacz<","122"
"123","M Brown;Cho K ;Kemp N ;Noel J ;Aggleton J ;Brown M W ;Bashir Z I ","A new form of long-term depression in the perirhinal cortex","Nature Neuroscience","6","6_15 M Brown;Cho K ;Kemp N ;Noel J ;Aggleton J ;Brown M W ;Bashir Z I <","123"
"124","M Brown;B McCaffery;K Cho;J P Aggleton;M W Brown;F Conquet;G L Collingridge;Z I Bashir","Pharmacological activation of mGlu receptors in the perirhinal cortex","Neuroscience","6","6_16 M Brown;B McCaffery;K Cho;J P Aggleton;M W Brown;F Conquet;G L Collingridge;Z I Bashir<","124"
"125","M Brown;A U Nicol;M W Brown;G Horn","Hippocampal neuronal activity and imprinting in the behaving domestic chick","European Journal of Neuroscience","6","6_17 M Brown;A U Nicol;M W Brown;G Horn<","125"
"126","M Brown;A U Nicol;M W Brown;G Horn","Neural encoding of subject-object distance in a visual recognition memory system","European Journal of Neuroscience","6","6_18 M Brown;A U Nicol;M W Brown;G Horn<","126"
"127","M Brown;A U Nicol;M W Brown;G Horn","Is neuronal encoding of subject-object distance dependent on learning? NeuroReport ; - ","","6","6_19 M Brown;A U Nicol;M W Brown;G Horn<","127"
"128","M Brown;S D Vann;M W Brown;J T Erichson;J P Aggleton","","Using Fos imaging the rat to reveal the anatomical extent of the disruptive effects of fornix lesions J Neurosci","6","6_20 M Brown;S D Vann;M W Brown;J T Erichson;J P Aggleton<","128"
"129","M Brown;S D Vann;M W Brown;J T Erichsen;J P Aggleton","","Fos imaging reveals differential patterns of hippocampal and parahippocampal subfield activity response to different spatial memory tasks J Neurosci","6","6_21 M Brown;S D Vann;M W Brown;J T Erichsen;J P Aggleton<","129"
"130","M Brown;H Wan;J P Aggleton;M W Brown","Different contributions of the hippocampus and perirhinal cortex to recognition memory","Journal of Neuroscience","6","6_22 M Brown;H Wan;J P Aggleton;M W Brown<","130"
"131","M Brown;Z Ziakopoulos;M W Brown;Z I Bashir","GABAB receptor mediated paired pulse depression in the perirhinal cortex in vitro","Eur J Neurosci","6","6_23 M Brown;Z Ziakopoulos;M W Brown;Z I Bashir<","131"
"132","M Brown;Z Ziakopoulos;C W Tillett;M W Brown;Z I Bashir","Input- and layer- dependent synaptic plasticity in the rat perirhinal cortex in vitro","Neuroscience","6","6_24 M Brown;Z Ziakopoulos;C W Tillett;M W Brown;Z I Bashir<","132"
"133","M Brown;Rafal Bogacz","Capacity of perirhinal cortex network for recognising frequently repeating stimuli ","Neurocomputing","6","6_1 M Brown;Rafal Bogacz<","133"
"134","M Brown;R Bogacz;M W Brown;C Giraud-Carrier","High capacity neural networks for familiarity discrimination","Proceedings of International Conference Artificial Neural Networks Edinburgh","6","6_2 M Brown;R Bogacz;M W Brown;C Giraud-Carrier<","134"
"135","M Brown;R Bogacz;M W Brown;C Giraud-Carrier","Model of familiarity discrimination in the perirhinal cortex","Journal of Computational Neuroscience","6","6_3 M Brown;R Bogacz;M W Brown;C Giraud-Carrier<","135"
"136","M Brown;M W Brown","Differential neuronal encoding of novelty, familiarity and recency in regions of the anterior temporal lobe","Neuropharmacology","6","6_4 M Brown;M W Brown<","136"
"137","M Brown;M W Brown","Differential neuronal responsiveness in primate perirhinal cortex and hippocampal formation during performance of a conditional visual discrimination task","European Journal of Neuroscience","6","6_5 M Brown;M W Brown<","137"
"138","M Brown;M W Brown;Z I Bashir","Evidence concerning how neurones of the perirhinal cortex may effect familiarity discrimination","Philosophical Transactions of the Royal Society B press","6","6_6 M Brown;M W Brown;Z I Bashir<","138"
"139","M Brown;M W Brown;J P Aggleton","Recognition Memory: What are the roles of the perirhinal cortex and hippocampus? Nature Reviews Neuroscience ; - ","","6","6_7 M Brown;M W Brown;J P Aggleton<","139"
"140","M Brown;M W Brown","Recognition memory: neuronal substrates of the judgement of prior occurrence","Progress Neurobiology","6","6_8 M Brown;M W Brown<","140"
"141","M Brown;K Cho;J P Aggleton;M W Brown;Z I Bashir","An experimental test of the role of postsynaptic calcium levels in determining synaptic strength using perirhinal cortex of rat","J Physiol","6","6_9 M Brown;K Cho;J P Aggleton;M W Brown;Z I Bashir<","141"
"142","M Brown; Anders Krogh ; David Haussler ; I Saira Mian ; Kimmen Sj&ouml;lander ; Richard Hughey","Using Dirichlet Mixture Priors to Derive Hidden Markov Models for Protein Families ","ISMB Intelligent Systems for Molecular Biology","7","7_1 M Brown; Anders Krogh ; David Haussler ; I Saira Mian ; Kimmen Sj&ouml;lander ; Richard Hughey<","142"
"143","M Brown; David Haussler ; I Saira Mian ; Rebecca C Underwood ; Yasubumi Sakakibara","Stochastic Context-Free Grammars for Modeling RN ","HICSS INTERNATIONAL CONFERENCE SYSTEM SCIENCES","7","7_2 M Brown; David Haussler ; I Saira Mian ; Rebecca C Underwood ; Yasubumi Sakakibara<","143"
