"","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID"
"35","J Robinson;Allen J Gavin ; Brian Berger ; Brian OLeary ; Chad A Roberts ; Clayton L Birkett ; Marcelo B Soares ; Maria F Bonaldo ; Natalie L Robinson ; Nishank Trivedi ; Tamara Kucaba ; Terry A Braun ; Thomas L Casavant ; Todd E Scheetz ; Val C Sheffield>ESTprep: Preprocessing CDNA Sequence Reads >Bioinformatics
3_12 J Robinson;Charles W Hoffner II>Easily Tested Three-Level Gate Networks for i>T/i> or More of i>N/i> Symmetric Functions >IEEE Trans Computers
3_13 J Robinson;Alan W Nordstrom>An Optimum Nonlinear Code>Information and Control
3_14 J Robinson;Sudhakar M Reddy>A Construction for Convolutional Codes Using Block Codes>Information and Control
3_15 J Robinson;Sudhakar M Reddy>A Decoding Algorithm for Some Convolutional Codes Constructed from Block Codes>Information and Control
3_16 J Robinson;J P Robinson>Golomb Rectangles as Folded Rulers,>IEEE Trans Information Theory IT
3_17 J Robinson;J P Robinson>Genetic Search for Golomb Arrays,>IEEE Trans Information Theory IT
3_18 J Robinson;J P Robinson; N R Saxena>A Unified View of Test Compression Methods>IEEE Trans Computers C
3_19 J Robinson;Nirmal R Saxena>Accumulator Compression Testing >IEEE Trans Computers
3_1 J Robinson;>Addendum to Optimum Golomb Rulers >IEEE Trans Computers
3_2 J Robinson;>Golomb rectangles as folded rulers >IEEE Transactions Information Theory
3_3 J Robinson;>Aliasing Probabilities for Feedback Signature Compression of Test Data >IEEE Trans Computers
3_4 J Robinson;>Optimum Golomb Rulers >IEEE Trans Computers
3_5 J Robinson;Martin Cohn>Counting Sequences >IEEE Trans Computers
3_6 J Robinson;George I Davida ; Sudhakar M Reddy>A Class of High-Rate Double-Error-Correcting Convolutional Codes>Information and Control
3_7 J Robinson;Geetani Edirisooriya>Aliasing in Multiple-Valued Test Data Compaction >ISMVL IEEE INTERNATIONAL SYMPOSIUM MULTIPLE VALUED LOGIC
3_8 J Robinson;Geetani Edirisooriya>Aliasing Probability in Multiple Input Linear Signature Automata for Q-ary Symmetric Errors >ICCD International Conference Computer Design
3_9 J Robinson;G Edirisooriya; J P Robinson>Aliasing Properties of Circular MISRs,","Journal of Electronic Testing","3_20 J Robinson;Nirmal R Saxena<","3
3_12 J Robinson;Charles W Hoffner II<>Easily Tested Three-Level Gate Networks for <i>T</i> or More of <i>N</i> Symmetric Functions <>IEEE Trans Computers
3_13 J Robinson;Alan W Nordstrom<>An Optimum Nonlinear Code<>Information and Control
3_14 J Robinson;Sudhakar M Reddy<>A Construction for Convolutional Codes Using Block Codes<>Information and Control
3_15 J Robinson;Sudhakar M Reddy<>A Decoding Algorithm for Some Convolutional Codes Constructed from Block Codes<>Information and Control
3_16 J Robinson;J P Robinson<>Golomb Rectangles as Folded Rulers,<>IEEE Trans Information Theory IT
3_17 J Robinson;J P Robinson<>Genetic Search for Golomb Arrays,<>IEEE Trans Information Theory IT
3_18 J Robinson;J P Robinson; N R Saxena<>A Unified View of Test Compression Methods<>IEEE Trans Computers C
3_19 J Robinson;Nirmal R Saxena<>Accumulator Compression Testing <>IEEE Trans Computers
3_1 J Robinson;<>Addendum to Optimum Golomb Rulers <>IEEE Trans Computers
3_2 J Robinson;<>Golomb rectangles as folded rulers <>IEEE Transactions Information Theory
3_3 J Robinson;<>Aliasing Probabilities for Feedback Signature Compression of Test Data <>IEEE Trans Computers
3_4 J Robinson;<>Optimum Golomb Rulers <>IEEE Trans Computers
3_5 J Robinson;Martin Cohn<>Counting Sequences <>IEEE Trans Computers
3_6 J Robinson;George I Davida ; Sudhakar M Reddy<>A Class of High-Rate Double-Error-Correcting Convolutional Codes<>Information and Control
3_7 J Robinson;Geetani Edirisooriya<>Aliasing in Multiple-Valued Test Data Compaction <>ISMVL IEEE INTERNATIONAL SYMPOSIUM MULTIPLE VALUED LOGIC
3_8 J Robinson;Geetani Edirisooriya<>Aliasing Probability in Multiple Input Linear Signature Automata for Q-ary Symmetric Errors <>ICCD International Conference Computer Design
3_9 J Robinson;G Edirisooriya; J P Robinson<>Aliasing Properties of Circular MISRs,<","3_11 J Robinson;Allen J Gavin ; Brian Berger ; Brian OLeary ; Chad A Roberts ; Clayton L Birkett ; Marcelo B Soares ; Maria F Bonaldo ; Natalie L Robinson ; Nishank Trivedi ; Tamara Kucaba ; Terry A Braun ; Thomas L Casavant ; Todd E Scheetz ; Val C Sheffield<>ESTprep: Preprocessing CDNA Sequence Reads <>Bioinformatics
3_12 J Robinson;Charles W Hoffner II<>Easily Tested Three-Level Gate Networks for <i>T</i> or More of <i>N</i> Symmetric Functions <>IEEE Trans Computers
3_13 J Robinson;Alan W Nordstrom<>An Optimum Nonlinear Code<>Information and Control
3_14 J Robinson;Sudhakar M Reddy<>A Construction for Convolutional Codes Using Block Codes<>Information and Control
3_15 J Robinson;Sudhakar M Reddy<>A Decoding Algorithm for Some Convolutional Codes Constructed from Block Codes<>Information and Control
3_16 J Robinson;J P Robinson<>Golomb Rectangles as Folded Rulers,<>IEEE Trans Information Theory IT
3_17 J Robinson;J P Robinson<>Genetic Search for Golomb Arrays,<>IEEE Trans Information Theory IT
3_18 J Robinson;J P Robinson; N R Saxena<>A Unified View of Test Compression Methods<>IEEE Trans Computers C
3_19 J Robinson;Nirmal R Saxena<>Accumulator Compression Testing <>IEEE Trans Computers
3_1 J Robinson;<>Addendum to Optimum Golomb Rulers <>IEEE Trans Computers
3_2 J Robinson;<>Golomb rectangles as folded rulers <>IEEE Transactions Information Theory
3_3 J Robinson;<>Aliasing Probabilities for Feedback Signature Compression of Test Data <>IEEE Trans Computers
3_4 J Robinson;<>Optimum Golomb Rulers <>IEEE Trans Computers
3_5 J Robinson;Martin Cohn<>Counting Sequences <>IEEE Trans Computers
3_6 J Robinson;George I Davida ; Sudhakar M Reddy<>A Class of High-Rate Double-Error-Correcting Convolutional Codes<>Information and Control
3_7 J Robinson;Geetani Edirisooriya<>Aliasing in Multiple-Valued Test Data Compaction <>ISMVL IEEE INTERNATIONAL SYMPOSIUM MULTIPLE VALUED LOGIC
3_8 J Robinson;Geetani Edirisooriya<>Aliasing Probability in Multiple Input Linear Signature Automata for Q-ary Symmetric Errors <>ICCD International Conference Computer Design
3_9 J Robinson;G Edirisooriya; J P Robinson<>Aliasing Properties of Circular MISRs,<","35"
"36","Unified View of Test Compression Methods ","IEEE Trans Computers","3_21 J Robinson;Cheng Hsien Tung<","A Unified View of Test Compression Methods <","A Unified View of Test Compression Methods <","36"
"37","Fast Algorithm for Optimum Syndrome Space Compression ","IEEE Trans Computers","3_22 J Robinson;Cheng Hsien Tung<","A Fast Algorithm for Optimum Syndrome Space Compression <","A Fast Algorithm for Optimum Syndrome Space Compression <","37"
"38","Concurrently Testable Microprogrammed Control Units ","ITC International Test Conference","3_23 J Robinson;Chia-Lung Yeh<","On Concurrently Testable Microprogrammed Control Units <","On Concurrently Testable Microprogrammed Control Units <","38"
"39","Method for Modulo- Minimization ","IEEE Trans Computers","4_10 B G T Lowden ; J Robinson<","A Method for Modulo- Minimization <","A Method for Modulo- Minimization <","39"
"40","fast method for ensuring the consistency of integrity constraints"," Proc DEXA Database and Expert Systems Applications","4_11 B G T Lowden ; J Robinson<","A fast method for ensuring the consistency of integrity constraints<","A fast method for ensuring the consistency of integrity constraints<","40"
"41","query answering using integrity rules"," Proc th International Symposium Methodologies for Intelligent Systems LNCS Springer Verlag pp","4_12 J Robinson;Barry G T Lowden<","Extended query answering using integrity rules<","Extended query answering using integrity rules<","41"
"42","the Re-use of Query Results at Remote Client Sites ","DEXA Database and Expert Systems Applications","4_13 J Robinson;B G T Lowden ; A Kitsopanidis<","Extending the Re-use of Query Results at Remote Client Sites <","Extending the Re-use of Query Results at Remote Client Sites <","42"
"43","database retrieval performance using record clustering"," Proc th Hellenic Conference Informatics","4_30 J Robinson;M E Waite ; Neil Dewhurst ; Simon H Lavington<","Enhancing database retrieval performance using record clustering<","Enhancing database retrieval performance using record clustering<","43"
"44","Parallelism in Primitive Operations on Bulk Data Types ","PARLE Parallel Architectures and Languages Europe","4_14 B G T Lowden; J Robinson<","Exploiting Parallelism in Primitive Operations on Bulk Data Types <","Exploiting Parallelism in Primitive Operations on Bulk Data Types <","44"
"45","management for semantic query optimisation in a distributed parallel environment"," Proc th International Conference Information Systems and Synthesis","4_15 B G T Lowden; J Robinson; K Y Lim<","Rule management for semantic query optimisation in a distributed parallel environment<","Rule management for semantic query optimisation in a distributed parallel environment<","45"
"46","Semantic Query Optimiser using Automatic Rule Derivation ","Proc WITS Workshop Information Technologies and Systems th International Workshop Information Technologies and Systems","4_16 J Robinson;Barry G T Lowden<","A Semantic Query Optimiser using Automatic Rule Derivation <","A Semantic Query Optimiser using Automatic Rule Derivation <","46"
"47","Query Optimisation and Rule Graphs ","KRDB Knowledge Representation Meets Databases","4_17 B G T Lowden ; J Robinson<","Semantic Query Optimisation and Rule Graphs <","Semantic Query Optimisation and Rule Graphs <","47"
"48","statistical approach to rule selection in semantic query optimisation"," Proc th International Symposium Methodologies for Intelligent Systems LNCS Springer Verlag pp","4_18 J Robinson;Barry G T Lowden ; Mohammed Al Haddad<","A statistical approach to rule selection in semantic query optimisation<","A statistical approach to rule selection in semantic query optimisation<","48"
"49","Multiple Computers in Database Query Processing and Descriptor Rule Management ","DEXA Database and Expert Systems Applications","4_19 J Robinson;Barry G T Lowden<","Utilising Multiple Computers in Database Query Processing and Descriptor Rule Management <","Utilising Multiple Computers in Database Query Processing and Descriptor Rule Management <","49"
"50","Range Rules ","DEXA Database and Expert Systems Applications","4_20 J Robinson ; B G T Lowden<","Attribute-Pair Range Rules <","Attribute-Pair Range Rules <","50"
"51","the Derivation and Maintenance of Subset Descriptor Rules"," Proc th International Conference Information Systems and Synthesis","4_21 J Robinson ; B G T Lowden<","Distributing the Derivation and Maintenance of Subset Descriptor Rules<","Distributing the Derivation and Maintenance of Subset Descriptor Rules<","51"
"52","analysis for query processing"," Proc Second International Symposium Intelligent Data Analysis London","4_22 J Robinson; B G T Lowden<","Data analysis for query processing<","Data analysis for query processing<","52"
"53","the use of query results at remote client sites"," pp Proc DEXA Database and Expert Systems Applications","4_23 J Robinson ; S Lin;<","Extending the use of query results at remote client sites<","Extending the use of query results at remote client sites<","53"
"54","for Parallel Linear Recursive Query Evaluation in Deductive Databases ","Proc PARLE Parallel Architectures and Languages Europe","4_24 J Robinson ; B G T Lowden<","Arithmetic for Parallel Linear Recursive Query Evaluation in Deductive Databases <","Arithmetic for Parallel Linear Recursive Query Evaluation in Deductive Databases <","54"
"55","optimisation and rule graphs"," Proc th KRDB Knowledge Representation Meets Databases Workshop st","4_25 J Robinson ; B G T Lowden<","Semantic optimisation and rule graphs<","Semantic optimisation and rule graphs<","55"
"56","multiple computers in database query processing and descriptor rule management"," Proc DEXA Database and Expert Systems Applications","4_26 J Robinson; B G T Lowden<","Utilising multiple computers in database query processing and descriptor rule management<","Utilising multiple computers in database query processing and descriptor rule management<","56"
"57","range rules"," Proc DEXA Database and Expert Systems Applications","4_27 J Robinson;A Sayli ; B G T Lowden<","Attribute-pair range rules<","Attribute-pair range rules<","57"
"58","fast transformation method for semantic query optimisation","Proc Int Database Engineering and Applications Symposium IEEE Montreal pp","4_28 J Robinson;A Sayli ; B G T Lowden<","A fast transformation method for semantic query optimisation<","A fast transformation method for semantic query optimisation<","58"
"59","rule consistency in the presence of db updates"," Proc XII International Symposium Computer Information Sciences","4_29 J Robinson;A Sayli ; B G T Lowden<","Ensuring rule consistency in the presence of db updates<","Ensuring rule consistency in the presence of db updates<","59"
"60","use of statistics in semantic query optimisation"," Proc th Cybernetics and Systems Research EMCSR","4_1 J Robinson;Mohammed Al Haddad<","The use of statistics in semantic query optimisation<","The use of statistics in semantic query optimisation<","60"
"61","a Network of Workstations to Enhance Database Query Processing Performance ","PVM Parallel Virtual Machine MPI The Message Passing Interface Standard","4_2 S H Lavington; J Robinson; K Y Mok;<","Using a Network of Workstations to Enhance Database Query Processing Performance <","Using a Network of Workstations to Enhance Database Query Processing Performance <","61"
"62","High Performance Relational Algebraic Processor for Large Knowledge Bases ","Proc International Workshop VLSI Very Large Scale Integration for Artificial Intelligence Eds J G Delgado Frias W R Kluwer Academic","4_3 S H Lavington; M E Waite; J Robinson; N E J Dewhurst;<","A High Performance Relational Algebraic Processor for Large Knowledge Bases <","A High Performance Relational Algebraic Processor for Large Knowledge Bases <","62"
"63","Parallelism in Primitive Operations on Bulk Data Types: Some Results ","International Journal of Computers Artificial Intelligence","4_4 J Robinson;Simon H Lavington<","Exploiting Parallelism in Primitive Operations on Bulk Data Types: Some Results <","Exploiting Parallelism in Primitive Operations on Bulk Data Types: Some Results <","63"
"64","Transitive Closure and Magic Functions Machine ","DPDS International Symposium Databases Parallel and Distributed Systems","4_5 J Robinson;Shutian Lin<","A Transitive Closure and Magic Functions Machine <","A Transitive Closure and Magic Functions Machine <","64"
"65","for Parallel Linear Recursive Query Evaluation in Deductive Databases ","PARLE Parallel Architectures and Languages Europe","4_6 J Robinson;Barry G T Lowden<","Arithmetic for Parallel Linear Recursive Query Evaluation in Deductive Databases <","Arithmetic for Parallel Linear Recursive Query Evaluation in Deductive Databases <","65"
"66","Inter-relational Rules for Semantic Query Optimisation ","DEXA Database and Expert Systems Applications","4_7 J Robinson;Barry G T Lowden ; Mohammed Al Haddad<","Constructing Inter-relational Rules for Semantic Query Optimisation <","Constructing Inter-relational Rules for Semantic Query Optimisation <","66"
"67","the Derivation and Maintenance of Subset Descriptor Rules ","ISAS International Conference Information Systems Analysis and Synthesis SCI Scalable Coherent Interface","4_8 J Robinson;Barry G T Lowden<","Distributing the Derivation and Maintenance of Subset Descriptor Rules <","Distributing the Derivation and Maintenance of Subset Descriptor Rules <","67"
"68","Analysis for Query Processing ","IDA Intelligent Data Analysis","4_9 J Robinson;Barry G T Lowden<","Data Analysis for Query Processing <","Data Analysis for Query Processing <","68"
"69","Fast Method for Ensuring the Consistence of Integrity Constraints ","DEXA Database and Expert Systems Applications","5_10 J Robinson;Charles Robertson<","A Fast Method for Ensuring the Consistence of Integrity Constraints <","A Fast Method for Ensuring the Consistence of Integrity Constraints <","69"
"70","LivePaper system: augmenting paper on an enhanced tabletop ","Computers amp Graphics","5_11 J Robinson;J A Robinson<","The LivePaper system: augmenting paper on an enhanced tabletop <","The LivePaper system: augmenting paper on an enhanced tabletop <","70"
"71","Redundancy Removal for Binary Tree Predictive Coding"," Proc First International Symposium Communication Systems and Digital Signal Processing UK","5_12 J Robinson;M A Shamim; J A Robinson<","In-Band Redundancy Removal for Binary Tree Predictive Coding<","In-Band Redundancy Removal for Binary Tree Predictive Coding<","71"
"72","Binary Tree for Contour Coding and Its Performance Analysis"," The Third Symposium Wireless Personal Multimedia Communications Bangkok","5_13 J Robinson;M A Shamim; J A Robinson<","Modified Binary Tree for Contour Coding and Its Performance Analysis<","Modified Binary Tree for Contour Coding and Its Performance Analysis<","72"
"73","Motion Estimation in Image Sequences"," Proceedings of the Canadian Conference Electrical and Computering Engineering CCECE Halifax Nova Scotia Volume","5_14 J Robinson;Q Song; J A Robinson<","Region-Based Motion Estimation in Image Sequences<","Region-Based Motion Estimation in Image Sequences<","73"
"74","Feature Space for Face Image Processing"," Proceedings of the International Conference Pattern Recognition Barcelona Volume","5_15 J Robinson;A Vardy; J A Robinson; L-T Cheng<","A Feature Space for Face Image Processing<","A Feature Space for Face Image Processing<","74"
"75","Wristcam as Input Device"," Proceedings of the Third International Symposium Wearable Computers San Francisco","5_16 J Robinson;Lowell L Winger ; M E Jernigan<","The Wristcam as Input Device<","The Wristcam as Input Device<","75"
"76","Character Extraction in Low-Contrast Scene Images ","IJPRAI International Journal of Pattern Recognition and Artificial Intelligence","5_17 J Robinson;L Xiao; H Heys; J A Robinson<","Low-Complexity Character Extraction in Low-Contrast Scene Images <","Low-Complexity Character Extraction in Low-Contrast Scene Images <","76"
"77","Cryptography: Threshold Schemes and Information Hiding"," Proceedings of the Newfoundland Electrical and Computer Engineering Conference NECEC St John s Newfoundland","5_1 J Robinson;<","Visual Cryptography: Threshold Schemes and Information Hiding<","Visual Cryptography: Threshold Schemes and Information Hiding<","77"
"78","of Natural Images Using Thread-like Visual Primitives ","Data Compression Conference","5_2 J Robinson;L-T Cheng; J A Robinson<","Compression of Natural Images Using Thread-like Visual Primitives <","Compression of Natural Images Using Thread-like Visual Primitives <","78"
"79","with Speed and Robustness Issues for Video-Based Registration on a Wearable Computing Platform"," Proceedings of the Second International Symposium Wearable Computers","5_3 J Robinson;Li-Te Cheng ; Rick Kazman<","Dealing with Speed and Robustness Issues for Video-Based Registration on a Wearable Computing Platform<","Dealing with Speed and Robustness Issues for Video-Based Registration on a Wearable Computing Platform<","79"
"80","Feedback in Delicate Virtual Reality Operations ","ACM Multimedia","5_4 J Robinson;Li-Te Cheng<","Vibrotactile Feedback in Delicate Virtual Reality Operations <","Vibrotactile Feedback in Delicate Virtual Reality Operations <","80"
"81","Contextual Awareness through Visual Focus ","IEEE Intelligent Systems","5_5 J Robinson;C Y Ching; J Hiscock; X Cheng; J A Robinson<","Personal Contextual Awareness through Visual Focus <","Personal Contextual Awareness through Visual Focus <","81"
"82","of Gas Slug Velocities in Two-Phase Flows using Successive Images of the Flow"," CANCAM McMaster University","5_6 J Robinson;X Ping; J A Robinson<","Estimation of Gas Slug Velocities in Two-Phase Flows using Successive Images of the Flow<","Estimation of Gas Slug Velocities in Two-Phase Flows using Successive Images of the Flow<","82"
"83","object-based temporal filtering for enhancement of moving facial images"," Proceedings of the Canadian Conference Electrical and Computer Engineering CCECE Volume","5_7 J Robinson;T H Reeves<","Supervised object-based temporal filtering for enhancement of moving facial images<","Supervised object-based temporal filtering for enhancement of moving facial images<","83"
"84","Foveation of MPEG Video ","ACM Multimedia","5_8 J Robinson;Charles Robertson<","Adaptive Foveation of MPEG Video <","Adaptive Foveation of MPEG Video <","84"
