"","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID"
"29","M Miller;I Fris","Maximum order digraphs for diameter or degree , Pullman volume of Graphs and Matrices,","Lecture Notes Pure and Applied Mathematics","1","100","29"
"30","S Lee;Dong-June Lee ; Hee-Seon Park","A New Methodology for Gray-Scale Character Segmentation and Recognition ","IEEE Transactions Pattern Analysis and Machine Intelligence","1","100","30"
"31","D Johnson;M R Garey; D S Johnson","The Rectilinear Steiner Tree Problem is NP-Complete,","SIAM Society for Industrial and Applied Mathematics J Appl Math","1","101","31"
"32","K Tanaka;Kazuya Yoda ; Keishi Tajima","Access control and authorization for CG data with multiple detail levels ","Systems and Computers","1","101","32"
"33","M Miller;C Rodger;R Simanjuntak","On distance magic graphs,","Proceedings of AWOCA Bandung Indonesia","1","101","33"
"34","S Lee;Dong-June Lee ; Hee-Seon Park","A New Methodology for Gray-Scale Character Segmentation and Recognition ","IEEE Transactions Pattern Analysis and Machine Intelligence","1","101","34"
"35","D Johnson;M R Garey; D S Johnson","A / Theorem for Bin Packing,","J Complexity","1","102","35"
"36","K Tanaka;Masatoshi Yoshikawa ; Richard Hull","Behavior Analysis of Object-Oriented Databases: Method Structure, Execution Trees, and Reachability Extended Abstract ","FODO Conference Foundations of Data Organization and Algorithms","1","102","36"
"37","M Miller;B Pascoe;I Roberts","An Expert System for security of statistical databases,","IJCAI International Joint Conference Artificial Intelligence Workshop Integrating Artificial Intelligence into Databases Sydney","1","102","37"
"38","S Lee;Dong-June Lee ; Hee-Seon Park","A New Methodology for Gray-Scale Character Segmentation and Recognition ","IEEE Transactions Pattern Analysis and Machine Intelligence","1","102","38"
"39","D Johnson;M R Garey; D S Johnson","Two-Processor Scheduling with Start-Times and Deadlines,","SIAM Society for Industrial and Applied Mathematics J Computing","1","103","39"
"40","M Miller;J Ryan;X Slamin","Integral sum numbers of cocktail party graphs and symmetric complete bipartite graphs,","Bulletin of ICA","1","103","40"
"41","M Yoshikawa;K Ishihara;K Tanaka","Schema Design, Views and Incomplete Information in Object-oriented Databases,"," English Trans of IPSJ","1","103","41"
"42","S Lee;Dong-June Lee ; Hee-Seon Park","A New Methodology for Gray-Scale Character Segmentation and Recognition ","IEEE Transactions Pattern Analysis and Machine Intelligence","1","103","42"
"43","D Johnson;M R Garey; D S Johnson; F P Preparata ; R E Tarjan","Triangulating a Simple Polygon,","Information Processing Letters","1","104","43"
"44","M Miller;X Slamin","On the monotonicity of minimum diameter with respect to order and maximum out-degree,","Proceedings of COCOON Computing and Combinatorics Sydney Lecture Notes Computer Science D Z Du P Eades V Estivill Castro X Lin eds","1","104","44"
"45","M Yoshikawa;K Ishihara;K Tanaka","Schema Virtualization in Object-Oriented Databases,","Proc of the th IEEE Int Conf Data Engineering","1","104","45"
"46","S Lee;Dong-June Lee ; Hee-Seon Park","A New Methodology for Gray-Scale Character Segmentation and Recognition ","IEEE Transactions Pattern Analysis and Machine Intelligence","1","104","46"
"47","D Johnson;M Goldwasser; D S Johnson; ; C C McGeoch Editors ","Proceedings of the th and th DIMACS Implementation Challenges,","American Mathematical Society","1","105","47"
"48","M Miller;M Baca","Antimagic valuations of generalized Petersen graphs,","Australasian Journal of Combinatorics","1","105","48"
"49","M Yoshikawa;K Tanaka","Towards Abstracting Complex Database Objects: Generalization, Reduction and Unification of Set-type Objects Extended Abstract ,","Proc Int Conf Database Theory Lecture Notes Computer Science Springer Verlag","1","105","49"
"50","S Lee;S -W Lee;D -J Lee;H -S Park"," A New Methodology for Gray-Scale Character Segmentation and Recognition, ","IEEE Trans Pattern Analysis and Machine Intelligence","1","105","50"
"51","D Johnson;Z J Haas; J H Winters; ; D S Johnson","Simulation Results of the Capacity of Cellular Systems,","IEEE Trans Vehicular Technology","1","106","51"
"52","K Tanaka;Koji Zettsu ; Yutaka Kidawara","Image Retrieval by Web Context: Filling the Gap between Image Keywords and Usage Keywords ","DEXA Database and Expert Systems Applications","1","106","52"
"53","M Miller;M Baca;Y Lin","On two conjectures concerning a,d -antimagic labeling of antiprisms,","JCMCC","1","106","53"
"54","S Lee;S -W Lee;H -H Song"," A New Recurrent Neural-Network Architecture for Visual Pattern Recognition, ","IEEE Trans Neural Networks","1","106","54"
"55","D Johnson;Frank K Hwang ; M R Garey","Algorithms for a Set Partitioning Problem Arising in the Design of Multipurpose Units ","IEEE Trans Computers","1","107","55"
"56","K Tanaka;Koji Zettsu ; Kuniaki Uehara","Semantic Structures for Video Data Indexing ","AMCP Advanced Multimedia Content Processing","1","107","56"
"57","M Miller","Open problems in graph theory: Labelings and extremal graphs, Plenary Address in Combinatorics, Prosiding Komperensi Nasional X Matematika,","ITB Bandung Jurnal MIHMI","1","107","57"
"58","S Lee;S -W Lee;S -M Kang;H -H Song"," A New Recurrent Neural Network Architecture for Pattern Recognition, ","Proc th International Conference Pattern Recognition","1","107","58"
"59","D Johnson;J&aacute;nos Csirik","Bounded Space On-Line Bin Packing: Best is Better than First ","SODA Symposium Discrete Algorithms","1","108","59"
"60","K Tanaka;Kohji Zettsu ; Kuniaki Uehara ; Nobuo Kimura","A Time-Stamped Authoring Graph for Video Databases ","DEXA Database and Expert Systems Applications","1","108","60"
"61","M Miller;J Ryan;X Slamin;K Sugeng;M Tuga","Open problems in exclusive sum graph labeling,","Proceedings of the Fourteenth Australasian Workshop Combinatorial Algorithms Seoul Korea","1","108","61"
"62","S Lee;S -W Lee;Y -J Kim"," A New Type of Recurrent Neural Network for Handwritten Character Recognition, ","Proc rd International Conference Document Analysis and Recognition Montreal","1","108","62"
"63","D Johnson;J&aacute;nos Csirik","Bounded Space On-Line Bin Packing: Best Is Better than First ","Algorithmica","1","109","63"
"64","M Miller;I Roberts;J Simpson","Application of symmetric chains to an optimization problem in the security of statistical databases,","Bulletin of ICA Volume","1","109","64"
"65","S Lee;S -W Lee"," Wearable Machine Vision Technologies for the Visually Impaired, ","Proc st Asian Conference Vision Hayama","1","109","65"
"66","C Chen;","The StarWalker virtual environment - an integrative design for social navigation ","HCI Human Computer Interaction","1","11","66"
"67","D Johnson;","Knapsacks, Linear Programs, and a Gamut of Problems,","J Algorithms","1","11","67"
"68","J Lee;C K Chiu;J H M Lee","Extending HCLP with Partially Ordered Hierarchies and Composite Constraints,","Journal of Experimental and Theoretical Artificial Intelligence pages Francis Ltd","1","11","68"
"69","J Martin; ","Training Help Desk Students: The Never Ending Task ","SIGUCCS Special Interest Group University and Computing Services","1","11","69"
"70","J Robinson;Peter A Franaszek","On Variable Scope of Parity Protection in Disk Arrays ","IEEE Trans Computers","1","11","70"
"71","J Smith;","Instruction Level Distributed Processing: Adapting to Future Technology ","ISHPC High Performance Computing","1","11","71"
"72","M Baca;Y Lin;M Miller;R Simanjuntak","New constructions of magic and antimagic graph labelings,","Utilitas Math","1","11","72"
"73","M Brown; Marc Najork","A Library for Visualizing Combinatorial Structures ","IEEE Visualization","1","11","73"
"74","M Jones;","Using Parameterized Signatures to Express Modular Structure ","POPL Symposium Principles of Programming Languages","1","11","74"
"75","S Ginsburg;K Tanaka","Computation-tuple Sequences and Object Histories: Extended Abstract,","Proc Int Conf Foundations of Data Organization Kyoto Plenum Press","1","11","75"
"76","S Lee;Hyeran Byun ; Kil-Cheon Kim ; Myung-Cheol Roh ; Yeong-Woo Choi","Scene Text Extraction in Complex Images ","Document Analysis Systems","1","11","76"
"77","W M P van der Aalst; H M W Verbeek; A Kumar","Verification of XRL: An XML-based Workflow Language,","Proceedings of the Sixth International Conference Computer Supported Cooperative Work Design","1","11","77"
"78","Y Chen;Wolfgang Benn","Poster on Rule-based Technology for Schema Transformation ","CoopIS","1","11","78"
"79","D Johnson;D S Johnson Editor ; Maintainer "," th DIMACS Implementation Challenge: The Traveling Salesman Problem,"," http www research att com dsj chtsp index html","1","110","79"
"80","M Miller;J A MacDougall;X Slamin;W D Wallis","Problems in magic total labellings,","Proceedings of AWOCA Perth","1","110","80"
"81","S Lee;S -W Lee"," Noisy Hangul Character Recognition Fuzzy Tree Classifier, ","Proc SPIE The International Society for Optical Engineering Electronic Imaging Science and Technology Conference Machine Vision Applications Character Recognition and Industrial Inspection San Jose","1","110","81"
"82","D Johnson;D S Johnson Editor ","Challenges for Theoretical Computer Science: DRAFT June ,"," http www research att com dsj nsflist html","1","111","82"
"83","M Miller;I Roberts;J Simpson","Prevention of relative compromise using Audit Expert,","Bulletin of ICA","1","111","83"
"84","S Lee;Eung-Jae Lee","Integrated segmentation and recognition of connected handwritten characters with recurrent neural network ","ICDAR International Conference Document Analysis","1","111","84"
"85","D Johnson;D S Johnson Editor ","STOC/FOCS Bibliography,","ACM Press","1","112","85"
"86","M Miller;J Cooper","Security considerations for present and future medical databases,","re printed by the IMIA Yearbook of Medical Informatics","1","112","86"
"87","S Lee;E -J Lee;S -W Lee"," Integrated Segmentation and Recognition of Connected Handwritten Characters Recurrent Neural Network, ","Proc rd International Conference Document Analysis and Recognition Montreal","1","112","87"
"88","D Johnson;D S Johnson; M A Trick Editors ","Cliques, Coloring, and Satisfiability: Proceedings of the nd DIMACS Implementation Challenge,","American Mathematical Society","1","113","88"
"89","M Miller;J Cooper","Security considerations for present and future medical databases,","International Journal of Bio Medical Computing","1","113","89"
"90","S Lee;S -W Lee;S -Y Kim"," Integrated Segmentation and Recognition of Connected and Degraded Handwritten Numerals, ","Proc International Workshop Computer Vision Technology Seoul Korea","1","113","90"
"91","D Johnson;D S Johnson; C H Papadimitriou","Computational Complexity,","The Traveling Salesman Problem E L Lawler J K Lenstra A H G Rinnooy Kan and D B Shmoys editors John Wiley and Sons Ltd","1","114","91"
"92","M Miller","Security issues in medical databases,","HIANSW Third Annual Conference Hunter Valley","1","114","92"
"93","S Lee;S -W Lee;S -Y Kim"," Integrated Segmentation and Recognition of Handwritten Numerals Cascade Neural Networks, ","IEEE Trans Systems Man and Cybernetics","1","114","93"
"94","D Johnson;D S Johnson","A Catalogue of Complexity Classes,","The Handbook of Theor Comp Sci J Van Leeuwen editor Elsevier","1","115","94"
"95","M Miller","Some open problems in optimal digraphs,","Tatra Mountains Mathematical Publications","1","115","95"
"96","S Lee;S -W Lee;J -S Park"," Performance Evaluation of Nonlinear Shape Normalization Methods for the Recognition of Large-set Handwritten Characters, ","Proc International Conference Document Analysis and Recognition Tsukuba","1","115","96"
"97","D Johnson;D S Johnson; T Nishizeki; A Nozaki; H S Wilf Editors ","Discrete Algorithms and Complexity: Proceedings of the Japan-US Joint Seminar, June - , , Kyoto, Japan,","Academic Press New","1","116","97"
"98","M Miller;J Ryan;W F Smyth","The sum number of a disjoint union of graphs,","Proceedings of the Fourteenth Australasian Workshop Combinatorial Algorithms Seoul Korea","1","116","98"
"99","S Lee;S -W Lee;L Lam;C Y Suen"," Performance Evaluation of Skeletonization Algorithms for Document Image Processing, ","Proc st International Conference Document Analysis and Recognition Saint Malo","1","116","99"
"100","D Johnson;D S Johnson","Fast Algorithms for Bin Packing,","Journal of Computer and System Sciences","1","117","100"
"101","M Miller;J Ryan;W Smyth","The sum number of the cocktail party graph,","Bulletin of ICA","1","117","101"
"102","S Lee;S -W Lee;D -S Ryu"," Parameter-Free Geometric Document Layout Analysis, ","IEEE Trans Pattern Analysis and Machine Intelligence","1","117","102"
"103","D Johnson;D S Johnson; C H Papadimitriou; M Yannakakis","How Easy is Local Search?,","Journal of Computer and System Sciences Preliminary version Proc th Ann IEEE Symp Foundations of Computer Science","1","118","103"
"104","M Miller;J Gimbert;F Ruskey;J Ryan","Iterations of eccentric digraphs,","Proceedings of AWOCA Frazer Island","1","118","104"
"105","S Lee;S -W Lee","Principles of Pattern Recognition, I, II,","Hongneung Science Publisher Seoul","1","118","105"
"106","D Johnson;D S Johnson ; H O Pollack","Hypergraph Planarity and the Complexity of Drawing Venn Diagrams,","J Graph Theory","1","119","106"
"107","S Lee;S -W Lee;H -H Song"," Optimal Design of Reference Model for Large-set Handwritten Character Recognition, ","Pattern Recognition","1","119","107"
"108","S Morris;J Cooper;D Bomba;L Brankovic;M Miller;F Pacecho","Australian healthcare: a smart card for a clever country,","International Journal of Bio Medical Computing","1","119","108"
"109","C Chen;","Tracking Latent Domain Structures: An Integration of Pathfinder and Latent Semantic Analysis ","AI Artificial Intelligence Soc","1","12","109"
"110","D Johnson;","Local Optimization and the Traveling Salesman Problem ","ICALP Automata Languages and Programming","1","12","110"
"111","J Lee;C K Chiu;J H M Lee","Interval Linear Constraint Solving Using the Pre-conditioned Interval Gauss-Seidel Method,","Twelfth International Conference Logic Programming MIT Press Kanagawa","1","12","111"
"112","J Martin; Jan Eveleth ; Linda J Hutchison ; Priscilla Huston ; Susan Calcari","Network information centers NICs : is there one on your horizon?","SIGUCCS Special Interest Group University and Computing Services","1","12","112"
"113","J Robinson;Peter A Franaszek","Analysis of Reorganization Overhead in Log-Structured File Systems ","ICDE International Conference Data Engineering","1","12","113"
"114","J Smith;","Instruction-Level Distributed Processing ","IEEE Computer","1","12","114"
"115","K Tanaka;Seymour Ginsburg","Interval Queries on Object Histories ","Theor Comput Sci","1","12","115"
"116","M Baca;S Jendrol;M Miller;J Ryan","On irregular total labelings","Discrete Mathematics","1","12","116"
"117","M Brown; ","WebCard = Email + News + WWW ","CHI Conference Human Factors Computing Systems Extended Abstracts","1","12","117"
"118","M Jones;","A System of Constructor Classes: Overloading and Implicit Higher-Order Polymorphism ","FPCA Functional Programming Languages and Computer Architecture","1","12","118"
"119","S Lee;H Byun;S -W Lee"," A Survey on Pattern Recognition Applications of Support Vector Machines, ","International Journal of Pattern Recognition and Artificial Intelligence","1","12","119"
"120","W Benn;Y Chen;I Gringer","A Rule-based Strategy for Schema Integration in a Heterogeneous Information Environment,","technical report CSR Computer Science Department Technical University of Chemnitz Zwickau","1","12","120"
"121","W M P van der Aalst; A Kumar","XML Based Schema Definition for Support of Inter-organizational Workflow,","Information Systems Research","1","12","121"
"122","D Johnson;D S Johnson","Local Optimization and the Traveling Salesman Problem,","Proc th Colloq Automata Lang and Prog","1","120","122"
"123","H Nagamochi;M Miller;X Slamin","Bounds on the number of isolates in sum graph labeling,","Discrete Mathematics","1","120","123"
"124","S Lee;S -W Lee;H -H Song"," Optimal Design of Reference Models Using Simulated Annealing Combined an Improved LVQ , ","Proc International Conference Document Analysis and Recognition Tsukuba","1","120","124"
"125","D Johnson;D S Johnson; A S LaPaugh ; R Y Pinter","Minimizing Channel Density by Lateral Shifting of Components,","Proc th Ann ACM SIAM Society for Industrial and Applied Mathematics Symp Discrete Algorithms","1","121","125"
"126","M Miller;David Rappaport ; Hossam A ElGindy ; Michael E Houle ; Sue Whitesides ; William Lenhart","Dominance Drawings of Bipartite Graphs ","CCCG Canadian Conference Computational Geometry","1","121","126"
"127","S Lee;S -W Lee;A Verri Eds ","Pattern Recognition Support Vector Machines,","Lecture Notes Computer Science Springer Verlag ISBN X","1","121","127"
"128","D Johnson;D S Johnson; L A McGeoch","Experimental Analysis of Heuristics for the STSP,","The Traveling Salesman Problem and its Variations G Gutin and A Punnen Editors Kluwer Academic Publishers Dordrecht","1","122","128"
"129","M Miller;Alexander Rosa ; Ljiljana Brankovic ; Peter Horak","Premature partial latin squares ","Ars Comb","1","122","129"
"130","S Lee;S -W Lee;J Kim"," Recognizing Hand-Drawn Symbols in Engineering Drawings, ","Proc rd International Conference Applications of Artificial Intelligence Engineering","1","122","130"
"131","D Johnson;D S Johnson; G Gutin; L A McGeoch; A Yeo; W Zhang;; A Zverovich","Experimental Analysis of Heuristics for the ATSP,","The Traveling Salesman Problem and its Variations G Gutin and A Punnen Editors Kluwer Academic Publishers Dordrecht","1","123","131"
"132","M Miller;Jennifer Seberry","Relative Compromise of Statistical Databases ","Australian Computer Journal","1","123","132"
"133","S Lee;S -W Lee;S -W Lee;H -C Jung"," Real-Time Implementation of Face Recognition Algorithms on DSP Chip, ","Audio and Video based Biometric Person Authentication Lecture Notes Computer Science","1","123","133"
"134","D Johnson;D S Johnson","More Approaches to the Travelling Salesman Guide,","Nature page","1","124","134"
"135","R Simanjuntak;M Miller","Largest planar digraphs of diameter two,","Proceedings of AWOCA Frazer Island","1","124","135"
"136","S Lee;S -W Lee"," Oriental Character Recognition, ","Pattern Recognition","1","124","136"
"137","D Johnson;D S Johnson; C H Papadimitriou ; M Yannakakis","On Generating all Maximal Independent Sets,","Information Processing Letters","1","125","137"
"138","R Simanjuntak;M Miller","Survey of a,d -antimagic graph labelings, Prosiding Komperensi Nasional X Matematika, ITB Bandung, July ,","Jurnal MIHMI","1","125","138"
"139","S Lee;S -W Lee;Y Y Tang;P S P Wang"," Oriental Document Analysis and Recognition Techniques, ","International Journal of Pattern Recognition and Artificial Intelligence","1","125","139"
"140","D Johnson;D S Johnson ; M Szegedy","What are the Least Tractable Instances of Max Independent Set?,","Proc th Ann ACM SIAM Society for Industrial and Applied Mathematics Symp Discrete Algorithms S S","1","126","140"
"141","R Simanjuntak;M Miller;F Bertault","Two new a,d antimagic labelings,","Proceedings of AWOCA Hunter Valley","1","126","141"
"142","S Lee;S -W Lee;D -J Lee"," Slant Estimation and Correction for Off-line Hangul Script Using Hough Transform, ","Proc International Conference Computer Processing of Oriental Languages","1","126","142"
"143","D Johnson;D S Johnson; K A Niemi","On Knapsacks, Partitions, and a New Dynamic Programming Technique for Trees,","Math of Oper Research","1","127","143"
"144","M Miller;Jozef Siran ; Ljiljana Brankovic","Towards a Practical Auditing Method for the Prevention of Statistical Database Compromise ","Australasian Database Conference","1","127","144"
"145","S Lee;S -W Lee;A Verri"," Support Vector Machines for Computer Vision and Pattern Recognition, ","International Journal of Pattern Recognition and Artificial Intelligence","1","127","145"
"146","D Johnson;D S Johnson","NP-Completeness: An Ongoing Guide,","Academic Press Collection of NP completeness columns","1","128","146"
"147","S Lee;S -W Lee;Louisa Lam;C Y Suen"," A Systematic Evaluation of Skeletonization Algorithms, ","International Journal of Pattern Recognition and Artificial Intelligence","1","128","147"
"148","X Slamin;M Baca;Y Lin;M Miller;R Simanjuntak","Edge-magic total labelings of wheels, fans and friendship graphs,","Bulletin of ICA","1","128","148"
"149","D Johnson;D S Johnson","On Property $B_r$,","J Comb Theory B","1","129","149"
"150","S Lee;S -W Lee"," A Systematic Evaluation of Skeletonization Algorithms for Pattern Recognition, ","Proc First Korea Joint Conference Computer Vision Daejon Korea","1","129","150"
"151","X Slamin;M Miller","Diregularity of digraphs close to Moore bound, Prosiding Komperensi Nasional X Matematika,","ITB Bandung Jurnal MIHMI","1","129","151"
"152","C Chen;Structuring and Visualising the WWW by Generalised Similarity Analysis ","Hypertext","","1","13","152"
"153","D Johnson;","Embedding Problems,","J Algorithms","1","13","153"
"154","J Lee;C K Chiu","Towards Practical Interval Constraint Solving in Logic Programming ","SLP Symposium Logic Programming","1","13","154"
"155","J Martin; ","Network client server applications on the network ","SIGUCCS Special Interest Group University and Computing Services","1","13","155"
"156","J Robinson;Peter A Franaszek","On internal organization in compressed random-access memories ","IBM Journal of Research and Development","1","13","156"
"157","J Smith;","On the Existence of Combinational Logic Circuits Exhibiting Multiple Redundancy ","IEEE Trans Computers","1","13","157"
"158","M Baca;M Miller","Antimagic face labeling of convex polytopes based on biprisms,","Journal of Combinatorial Mathematics and Combinatorial Computing","1","13","158"
"159","M Brown; Krishna Bharat","Building a distributed application using visual Obliq ","CHI Conference Human Factors Computing Systems Conference Companion","1","13","159"
"160","M Jones;","A Theory of Qualified Types ","Sci Comput Program","1","13","160"
"161","S Ginsburg;K Tanaka","Interval Queries on Object Histories: Extended Abstract,","Proc th Int Conf Very Large Data Bases","1","13","161"
"162","S Lee;W -G Cho;S -W Lee;J H Kim"," Modeling and Recognition of Cursive Words Hidden Markov Models, ","Pattern Recognition","1","13","162"
"163","W M P van der Aalst; H M W Verbeek; A Kumar","XRL/Woflan: Verification and extensibility of an XML/Petri-net based language for inter-organizational workflows,","Proceedings of the th Informs Conference Information Systems and Technology CIST Beach This paper received the best paper award at the conference Full version of this paper is also available","1","13","163"
"164","Y Chen;Fung-Yee Chan ; Ron McFadyen","Mapping DTDs to Object-Oriented Schemas ","WISE Web Information Systems Engineering","1","13","164"
"165","D Johnson;D S Johnson; J L Bentley; L A McGeoch;; E E Rothberg ","Near-Opimal Solutions to Very Large Traveling Salesman Problems,"," Monograph preparation","1","130","165"
"166","S Lee;J -Y Lee;J -S Park;H -R Byun;S -W Lee"," Automatic Generation of Structured Hyperdocuments from Document Images, ","Pattern Recognition","1","130","166"
"167","X Slamin;E T Baskoro;M Miller","Diregularity of digraphs of out-degree three and order two less than Moore bound,","Proceedings of AWOCA Bandung Indonesia","1","130","167"
"168","D Johnson;D S Johnson","Worst Case Behavior of Graph Coloring Algorithms,","Proc th Southeastern Conf Comb Graph Theory and Computing","1","131","168"
"169","M Miller;Slamin","On the Monotonicity of Minimum Diameter with Respect to Order and Maximum Out-Degree ","COCOON Computing and Combinatorics","1","131","169"
"170","S Lee;J -Y Lee;H -J Kang;S -W Lee"," Automatic Generation of Structured Hyperdocuments from Multi-Column Document Images, ","Proc th Int Conf Pattern Recognition IV Barcelona","1","131","170"
"171","D Johnson;D S Johnson; M R Garey; R L Graham; A Demers; J D Ullman","Worst Case Performance Bounds for Simple One-Dimensional Packing Algorithms,","SIAM Society for Industrial and Applied Mathematics J Computing","1","132","171"
"172","M -S Lee;Y -M Yang;S -W Lee"," Automatic Video Parsing Using Shot Boundary Detection and Camera Operation Analysis, ","Pattern Recognition","1","132","172"
"173","X Slamin;M Miller","On two conjectures concerning vertex-magic total labeling of generalized Petersen graphs,","Bulletin of ICA","1","132","173"
"174","D Johnson;D S Johnson ; C C McGeoch Editors ","Network Flows and Matching: Proceedings of the st DIMACS Implementation Challenge,","American Mathematical Society","1","133","174"
"175","S Lee;S -W Lee;J Kim"," Automatic Verification of Seal Imprints Using Attributed Stroke Graph Matching, ","Proc IEEE International Conference Computer Processing of Chinese and Oriental Languages","1","133","175"
"176","X Slamin;M Miller","Open problems in sum and integral sum graph labellings,","Proceedings of AWOCA","1","133","176"
"177","D Johnson;D S Johnson","Approximation Algorithms for Combinatorial Problems,","Journal of Computer and System Sciences","1","134","177"
"178","S Lee;S -W Lee;J Kim"," Automatic Entity Verification by Seal Imprint, ","International Journal of Computer Processing of Chinese and Oriental Languages","1","134","178"
"179","X Slamin;M Miller","Sum graph labelling and related problems,","Jurnal MIHMI","1","134","179"
"180","D Johnson;D S Johnson; C H Papadimitriou","Performance Guarantees for Heuristics,","The Traveling Salesman Problem E L Lawler J K Lenstra A H G Rinnooy Kan and D B Shmoys editors John Wiley and Sons Ltd","1","135","180"
"181","K Sugeng;M Miller;M Baca"," a,d -edge-antimagic total labeling,","Indonesia Conference Computational Geometry and Graph Theory Bandung Indonesia","1","135","181"
"182","S Lee;S -W Lee;J - H Kim;Frans C A Groen"," Translation-, Rotation-, and Scale-Invariant Recognition of Hand-Drawn Symbols in Schematic Diagrams, ","International Journal of Pattern Recognition and Artificial Intelligence","1","135","182"
"183","D Johnson;D S Johnson ; A Klug","Optimizing Conjunctive Queries that Contain Untyped Variables,","SIAM Society for Industrial and Applied Mathematics J Computing","1","136","183"
"184","K A Sugeng;M Miller","Open problems in secret sharing,","Proceedings of AWOCA Frazer Island","1","136","184"
"185","S Lee;S -W Lee;H -S Park;Y Y Tang"," Translation-, Scale-, and Rotation-invariant Recognition of Hangul Characters Transformation Ring Projection, ","Proc st International Conference Document Analysis and Recognition Saint Malo","1","136","185"
"186","D Johnson;D S Johnson; C R Aragon; L A McGeoch; C Shevon","Optimization by Simulated Annealing: An Experimental Evaluation; Part I, Graph Partitioning,","Operations Research","1","137","186"
"187","M Sutton;M Miller;J Ryan;X Slamin","Connected graphs which are not mod sum graphs,","Discrete Mathematics","1","137","187"
"188","S Lee;S -W Lee;J Kim"," Attributed Stroke Graph Matching for Seal Imprint Verification, ","Pattern Recognition Letters","1","137","188"
"189","D Johnson;D S Johnson","Slow Ant,","New Scientist page","1","138","189"
"190","M Sutton;M Miller","Mod sum graph labelling of Hmn and Kn,","Australasian Journal of Combinatorics","1","138","190"
"191","S Lee;Y K Lim;H J Kang;C Ahn;S -W Lee"," Structure Analysis of Low Resolution Fax Cover Pages, ","Document Analysis Systems Lecture Notes Computer Science","1","138","191"
